;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
150530 ORIXIMINA;20;;
150540 OUREM;42,8;;
150543 OURILANDIA DO NORTE;32,1;;
150548 PACAJA;49,5;;
150550 PARAGOMINAS;37,9;;
150553 PARAUAPEBAS;26,7;;
150560 PEIXE-BOI;30,9;;
150570 PONTA DE PEDRAS;24,4;;
150580 PORTEL;56,8;;
150590 PORTO DE MOZ;56,2;;
150600 PRAINHA;32,9;;
150610 PRIMAVERA;38;;
150613 REDENCAO;25,4;;
150616 RIO MARIA;37,3;;
150618 RONDON DO PARA;33,9;;
150619 RUROPOLIS;38,7;;
150620 SALINOPOLIS;20;;
150630 SALVATERRA;18,3;;
150640 SANTA CRUZ DO ARARI;28,9;;
150650 SANTA IZABEL DO PARA;20,6;;
150658 SANTA MARIA DAS BARREIRAS;33,6;;
150660 SANTA MARIA DO PARA;37,2;;
150670 SANTANA DO ARAGUAIA;33,2;;
150680 SANTAREM;17,2;;
150690 SANTAREM NOVO;26,9;;
150700 SANTO ANTONIO DO TAUA;26;;
150710 SAO CAETANO DE ODIVELAS;19,4;;
150720 SAO DOMINGOS DO CAPIM;40,4;;
150730 SAO FELIX DO XINGU;32,5;;
150740 SAO FRANCISCO DO PARA;22,4;;
150745 SAO GERALDO DO ARAGUAIA;46,3;;
150747 SAO JOAO DE PIRABAS;40;;
150750 SAO JOAO DO ARAGUAIA;45,4;;
150760 SAO MIGUEL DO GUAMA;30,5;;
150770 SAO SEBASTIAO DA BOA VISTA;27,7;;
150780 SENADOR JOSE PORFIRIO;49,5;;
150790 SOURE;17,5;;
150795 TAILANDIA;34,4;;
150800 TOME-ACU;25,8;;
150808 TUCUMA;30;;
150810 TUCURUI;26,1;;
150815 URUARA;33,8;;
150820 VIGIA;19,2;;
150830 VISEU;40;;
150840 XINGUARA;27,9;;
160010 AMAPA;29,1;;
160020 CALCOENE;23,3;;
160023 FERREIRA GOMES;23,5;;
160027 LARANJAL DO JARI;33;;
160030 MACAPA;14,1;;
160040 MAZAGAO;47,8;;
160050 OIAPOQUE;19;;
160060 SANTANA;23,8;;
160070 TARTARUGALZINHO;35,7;;
170035 ALIANCA DO TOCANTINS;25,3;;
170040 ALMAS;46,2;;
170070 ALVORADA;20,5;;
170100 ANANAS;39,8;;
170110 APARECIDA DO RIO NEGRO;29,5;;
170190 ARAGUACEMA;36,3;;
170200 ARAGUACU;26,8;;
170210 ARAGUAINA;24,3;;
170220 ARAGUATINS;41,2;;
170230 ARAPOEMA;35,6;;
170240 ARRAIAS;39,1;;
170255 AUGUSTINOPOLIS;44,8;;
170270 AURORA DO TOCANTINS;32;;
170290 AXIXA DO TOCANTINS;55;;
170300 BABACULANDIA;42,8;;
170310 BARROLANDIA;35,6;;
170320 BERNARDO SAYAO;31,5;;
170370 BREJINHO DE NAZARE;33,8;;
170380 BURITI DO TOCANTINS;49,1;;
170390 CASEARA;27,5;;
170550 COLINAS DO TOCANTINS;25,7;;
170555 COMBINADO;34,1;;
170560 CONCEICAO DO TOCANTINS;31,5;;
170600 COUTO MAGALHAES;30,5;;
170610 CRISTALANDIA;31,2;;
170700 DIANOPOLIS;30,1;;
170710 DIVINOPOLIS DO TOCANTINS;32,5;;
170720 DOIS IRMAOS DO TOCANTINS;24,2;;
170730 DUERE;32,4;;
170755 FATIMA;18;;
170765 FIGUEIROPOLIS;24,6;;
170770 FILADELFIA;38,4;;
170820 FORMOSO DO ARAGUAIA;26,5;;
170830 GOIANORTE;23,4;;
170900 GOIATINS;47,9;;
170930 GUARAI;24;;
170950 GURUPI;16,5;;
171050 ITACAJA;38,3;;
171070 ITAGUATINS;44,6;;
171110 ITAPORA DO TOCANTINS;30,3;;
171240 LIZARDA;27,7;;
171250 MARIANOPOLIS DO TOCANTINS;28,2;;
171320 MIRACEMA DO TOCANTINS;25;;
171330 MIRANORTE;25,6;;
171360 MONTE DO CARMO;34,4;;
171420 NATIVIDADE;35,9;;
171430 NAZARE;38,1;;
171488 NOVA OLINDA;33,8;;
171500 NOVA ROSALANDIA;27,1;;
171510 NOVO ACORDO;49,8;;
171575 PALMEIROPOLIS;25,1;;
171610 PARAISO DO TOCANTINS;18,6;;
171620 PARANA;47,8;;
171650 PEDRO AFONSO;26,6;;
171660 PEIXE;32,6;;
171665 PEQUIZEIRO;31,8;;
171670 COLMEIA;31,5;;
171700 PINDORAMA DO TOCANTINS;32,2;;
171750 PIUM;31,2;;
171780 PONTE ALTA DO BOM JESUS;45,7;;
171790 PONTE ALTA DO TOCANTINS;34,6;;
171800 PORTO ALEGRE DO TOCANTINS;35,8;;
171820 PORTO NACIONAL;18,6;;
171830 PRAIA NORTE;49,4;;
171840 PRESIDENTE KENNEDY;29,7;;
171875 RIO SONO;30,8;;
171880 SAMPAIO;66,1;;
171890 SANTA ROSA DO TOCANTINS;41,5;;
171900 SANTA TEREZA DO TOCANTINS;29;;
172030 SAO SEBASTIAO DO TOCANTINS;54,5;;
172049 SAO VALERIO;39,2;;
172065 SILVANOPOLIS;35,1;;
172080 SITIO NOVO DO TOCANTINS;44,5;;
172090 TAGUATINGA;40,7;;
172100 PALMAS;17,4;;
172110 TOCANTINIA;30,7;;
172120 TOCANTINOPOLIS;36,4;;
172208 WANDERLANDIA;34,1;;
172210 XAMBIOA;30;;
210005 ACAILANDIA;41,8;;
210010 AFONSO CUNHA;60,1;;
210020 ALCANTARA;47,3;;
210030 ALDEIAS ALTAS;66,6;;
210040 ALTAMIRA DO MARANHAO;59,6;;
210050 ALTO PARNAIBA;33,1;;
210060 AMARANTE DO MARANHAO;49,9;;
210070 ANAJATUBA;56,5;;
210080 ANAPURUS;57,7;;
210090 ARAIOSES;66,5;;
210095 ARAME;58,9;;
210100 ARARI;41,5;;
210110 AXIXA;29,9;;
210120 BACABAL;42,5;;
210130 BACURI;44,9;;
210140 BALSAS;35,9;;
210150 BARAO DE GRAJAU;56,5;;
210160 BARRA DO CORDA;49,8;;
210170 BARREIRINHAS;47,5;;
210180 BENEDITO LEITE;48,6;;
210190 BEQUIMAO;38,9;;
210200 BOM JARDIM;64,1;;
