;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
231210 SANTANA DO CARIRI;51,8;;
231220 SANTA QUITERIA;50,4;;
231230 SAO BENEDITO;49,4;;
231240 SAO GONCALO DO AMARANTE;41,4;;
231250 SAO JOAO DO JAGUARIBE;34;;
231260 SAO LUIS DO CURU;38;;
231270 SENADOR POMPEU;44,7;;
231280 SENADOR SA;49,1;;
231290 SOBRAL;36,9;;
231300 SOLONOPOLE;43,6;;
231310 TABULEIRO DO NORTE;41,6;;
231320 TAMBORIL;53,4;;
231325 TARRAFAS;60,2;;
231330 TAUA;48,1;;
231335 TEJUCUOCA;51,8;;
231340 TIANGUA;47,8;;
231350 TRAIRI;46,9;;
231355 TURURU;49,6;;
231360 UBAJARA;47,5;;
231370 UMARI;46,5;;
231375 UMIRIM;51,6;;
231380 URUBURETAMA;44,7;;
231390 URUOCA;59,8;;
231395 VARJOTA;45,7;;
231400 VARZEA ALEGRE;46,5;;
231410 VICOSA DO CEARA;63,2;;
240010 ACARI;32,9;;
240020 ACU;39;;
240030 AFONSO BEZERRA;48,9;;
240040 AGUA NOVA;47,2;;
240050 ALEXANDRIA;47,9;;
240060 ALMINO AFONSO;38,5;;
240070 ALTO DO RODRIGUES;39,1;;
240080 ANGICOS;46;;
240090 ANTONIO MARTINS;36,7;;
240100 APODI;44,9;;
240110 AREIA BRANCA;29,5;;
240120 ARES;46;;
240130 AUGUSTO SEVERO;51,5;;
240140 BAIA FORMOSA;43,1;;
240145 BARAUNA;55,3;;
240150 BARCELONA;45,5;;
240160 BENTO FERNANDES;52,5;;
240170 BOM JESUS;50,1;;
240180 BREJINHO;56,8;;
240190 CAICARA DO RIO DO VENTO;44,1;;
240200 CAICO;27,4;;
240210 CAMPO REDONDO;50,7;;
240220 CANGUARETAMA;49,7;;
240230 CARAUBAS;43,6;;
240240 CARNAUBA DOS DANTAS;28,9;;
240250 CARNAUBAIS;48,5;;
240260 CEARA-MIRIM;42;;
240270 CERRO CORA;47,5;;
240280 CORONEL EZEQUIEL;52,9;;
240290 CORONEL JOAO PESSOA;50,1;;
240300 CRUZETA;37,3;;
240310 CURRAIS NOVOS;31,9;;
240320 DOUTOR SEVERIANO;45;;
240325 PARNAMIRIM;25,1;;
240330 ENCANTO;42,8;;
240340 EQUADOR;44,7;;
240350 ESPIRITO SANTO;58,9;;
240360 EXTREMOZ;35,2;;
240370 FELIPE GUERRA;39,9;;
240380 FLORANIA;46,1;;
240390 FRANCISCO DANTAS;49;;
240400 FRUTUOSO GOMES;37,7;;
240410 GALINHOS;55,7;;
240420 GOIANINHA;51,6;;
240430 GOVERNADOR DIX-SEPT ROSADO;39,5;;
240440 GROSSOS;41,1;;
240450 GUAMARE;47,1;;
240460 IELMO MARINHO;60,3;;
240470 IPANGUACU;49,2;;
240480 IPUEIRA;26,9;;
240490 ITAU;32,4;;
240500 JACANA;42;;
240510 JANDAIRA;53,9;;
240520 JANDUIS;45;;
240530 JANUARIO CICCO;54,1;;
240540 JAPI;51;;
240550 JARDIM DE ANGICOS;46,8;;
240560 JARDIM DE PIRANHAS;42,9;;
240570 JARDIM DO SERIDO;30,3;;
240580 JOAO CAMARA;48,5;;
240590 JOAO DIAS;61;;
240600 JOSE DA PENHA;50,9;;
240610 JUCURUTU;50,5;;
240620 LAGOA D'ANTA;51,2;;
240630 LAGOA DE PEDRAS;68,3;;
240640 LAGOA DE VELHOS;35,1;;
240650 LAGOA NOVA;49,4;;
240660 LAGOA SALGADA;52,4;;
240670 LAJES;43,1;;
240680 LAJES PINTADAS;42,9;;
240690 LUCRECIA;45,3;;
240700 LUIS GOMES;47,5;;
240710 MACAIBA;42,4;;
240720 MACAU;33,2;;
240730 MARCELINO VIEIRA;51,9;;
240740 MARTINS;36,7;;
240750 MAXARANGUAPE;48,9;;
240760 MESSIAS TARGINO;42,5;;
240770 MONTANHAS;54,8;;
240780 MONTE ALEGRE;54,4;;
240790 MONTE DAS GAMELEIRAS;52,8;;
240800 MOSSORO;26,4;;
240810 NATAL;15,8;;
240820 NISIA FLORESTA;41,9;;
240830 NOVA CRUZ;53,6;;
240840 OLHO-D'AGUA DO BORGES;43,8;;
240850 OURO BRANCO;32,6;;
240860 PARANA;56,8;;
240870 PARAU;45,6;;
240880 PARAZINHO;58,3;;
240890 PARELHAS;29,5;;
240910 PASSA E FICA;58,4;;
240920 PASSAGEM;48,5;;
240930 PATU;40,6;;
240940 PAU DOS FERROS;32,3;;
240950 PEDRA GRANDE;57,7;;
240960 PEDRA PRETA;50,6;;
240970 PEDRO AVELINO;52,5;;
240980 PEDRO VELHO;51;;
240990 PENDENCIAS;45,4;;
241000 PILOES;51,3;;
241010 POCO BRANCO;56,1;;
241020 PORTALEGRE;44,5;;
241030 SERRA CAIADA;57,2;;
241040 PUREZA;52,5;;
241050 RAFAEL FERNANDES;35,9;;
241060 RAFAEL GODEIRO;46,6;;
241070 RIACHO DA CRUZ;37,1;;
241080 RIACHO DE SANTANA;42,3;;
241090 RIACHUELO;50,7;;
241100 RODOLFO FERNANDES;45,4;;
241110 RUY BARBOSA;54,9;;
241120 SANTA CRUZ;42;;
241140 SANTANA DO MATOS;55;;
241142 SANTANA DO SERIDO;32,4;;
241150 SANTO ANTONIO;49,9;;
241160 SAO BENTO DO NORTE;49,7;;
241170 SAO BENTO DO TRAIRI;48,8;;
241180 SAO FERNANDO;43,4;;
241190 SAO FRANCISCO DO OESTE;40,9;;
241200 SAO GONCALO DO AMARANTE;33,6;;
241210 SAO JOAO DO SABUGI;31,1;;
241220 SAO JOSE DE MIPIBU;44,3;;
241230 SAO JOSE DO CAMPESTRE;51;;
241240 SAO JOSE DO SERIDO;31,4;;
241250 SAO MIGUEL;51;;
241260 SAO PAULO DO POTENGI;47,4;;
241270 SAO PEDRO;55,9;;
241280 SAO RAFAEL;44,6;;
241290 SAO TOME;48,7;;
241300 SAO VICENTE;41,6;;
241310 SENADOR ELOI DE SOUZA;62,1;;
241320 SENADOR GEORGINO AVELINO;47,4;;
241330 SERRA DE SAO BENTO;58,9;;
241335 SERRA DO MEL;42,2;;
241340 SERRA NEGRA DO NORTE;48,3;;
241350 SERRINHA;55,4;;
241360 SEVERIANO MELO;51,5;;
241370 SITIO NOVO;54,9;;
241380 TABOLEIRO GRANDE;37,9;;
241390 TAIPU;58,3;;
241400 TANGARA;47,8;;
241410 TENENTE ANANIAS;54,9;;
241420 TIBAU DO SUL;52,3;;
241430 TIMBAUBA DOS BATISTAS;31,9;;
241440 TOUROS;55;;
241450 UMARIZAL;38,4;;
241460 UPANEMA;43,2;;
241470 VARZEA;56,9;;
241480 VERA CRUZ;57,7;;
241490 VICOSA;48,9;;
241500 VILA FLOR;48,1;;
250010 AGUA BRANCA;45,8;;
250020 AGUIAR;57,3;;
250030 ALAGOA GRANDE;56;;
250040 ALAGOA NOVA;48,6;;
250050 ALAGOINHA;63,9;;
250060 ALHANDRA;55,6;;
250070 SAO JOAO DO RIO DO PEIXE;46,6;;
250080 ARACAGI;62,1;;
250090 ARARA;57,8;;
250100 ARARUNA;59,1;;
250110 AREIA;53,8;;
250120 AREIAL;42,1;;
250130 AROEIRAS;60,6;;
250140 BAIA DA TRAICAO;52,3;;
250150 BANANEIRAS;59,2;;
250160 BARRA DE SANTA ROSA;58,6;;
250170 BARRA DE SAO MIGUEL;43,4;;
250180 BAYEUX;31,4;;
250190 BELEM;52;;
250200 BELEM DO BREJO DO CRUZ;60,2;;
250210 BOA VENTURA;53,1;;
250220 BOM JESUS;48,8;;
250230 BOM SUCESSO;48,1;;
250240 BONITO DE SANTA FE;52,3;;
250250 BOQUEIRAO;45,8;;
250260 IGARACY;47;;
250270 BORBOREMA;53,8;;
250280 BREJO DO CRUZ;50,3;;
250290 BREJO DOS SANTOS;47,9;;
250300 CAAPORA;50,5;;
250310 CABACEIRAS;34,1;;
250320 CABEDELO;28,6;;
250330 CACHOEIRA DOS INDIOS;49,7;;
250340 CACIMBA DE AREIA;51;;
250350 CACIMBA DE DENTRO;63,1;;
250360 CAICARA;58,5;;
250370 CAJAZEIRAS;36,1;;
250380 CALDAS BRANDAO;56,7;;
250390 CAMALAU;49,4;;
250400 CAMPINA GRANDE;23,7;;
250410 CARRAPATEIRA;42,2;;
250420 CATINGUEIRA;60,9;;
250430 CATOLE DO ROCHA;41;;
250440 CONCEICAO;53,5;;
250450 CONDADO;42,9;;
250460 CONDE;49,3;;
250470 CONGO;47,4;;
250480 COREMAS;51,5;;
250490 CRUZ DO ESPIRITO SANTO;59,5;;
250500 CUBATI;48,3;;
250510 CUITE;52,7;;
250520 CUITEGI;58,3;;
250530 CURRAL VELHO;52,9;;
250540 DESTERRO;57,7;;
250550 VISTA SERRANA;36,2;;
250560 DIAMANTE;58,7;;
250570 DONA INES;63,1;;
250580 DUAS ESTRADAS;54,4;;
250590 EMAS;46,1;;
250600 ESPERANCA;44,1;;
250610 FAGUNDES;52,3;;
250620 FREI MARTINHO;41,6;;
250630 GUARABIRA;38,6;;
250640 GURINHEM;61,3;;
250650 GURJAO;35,5;;
250660 IBIARA;56,3;;
250670 IMACULADA;52,3;;
250680 INGA;59;;
250690 ITABAIANA;44,8;;
250700 ITAPORANGA;43,8;;
250710 ITAPOROROCA;60,1;;
250720 ITATUBA;58,4;;
250730 JACARAU;61,2;;
250740 JERICO;53,1;;
250750 JOAO PESSOA;17,4;;
250760 JUAREZ TAVORA;61,3;;
250770 JUAZEIRINHO;44,7;;
250780 JUNCO DO SERIDO;41,7;;
250790 JURIPIRANGA;60,7;;
250800 JURU;56,3;;
250810 LAGOA;50,8;;
250820 LAGOA DE DENTRO;57,8;;
250830 LAGOA SECA;40,8;;
250840 LASTRO;57,3;;
250850 LIVRAMENTO;42,2;;
250860 LUCENA;58,2;;
250870 MAE D'AGUA;57,3;;
250880 MALTA;49,7;;
250890 MAMANGUAPE;56,5;;
250900 MANAIRA;55,7;;
250910 MARI;58,6;;
250920 MASSARANDUBA;51,3;;
250930 MATARACA;47,7;;
250940 MOGEIRO;57,6;;
250950 MONTADAS;42,6;;
250960 MONTE HOREBE;49,3;;
250970 MONTEIRO;45,1;;
250980 MULUNGU;57,8;;
250990 NATUBA;63,5;;
251000 NAZAREZINHO;45,8;;
251010 NOVA FLORESTA;51,3;;
251020 NOVA OLINDA;52,8;;
251030 NOVA PALMEIRA;43,9;;
251040 OLHO D'AGUA;50,5;;
251050 OLIVEDOS;38,6;;
251060 OURO VELHO;44,4;;
251070 PASSAGEM;56;;
251080 PATOS;31;;
251090 PAULISTA;50,7;;
251100 PEDRA BRANCA;47,5;;
251110 PEDRA LAVRADA;50,2;;
251120 PEDRAS DE FOGO;58,7;;
251130 PIANCO;47,6;;
251140 PICUI;44,5;;
251150 PILAR;60,1;;
251160 PILOES;61,3;;
251170 PILOEZINHOS;62,2;;
251180 PIRPIRITUBA;52,2;;
251190 PITIMBU;51,8;;
251200 POCINHOS;50,3;;
251210 POMBAL;45,6;;
251220 PRATA;43,6;;
251230 PRINCESA ISABEL;47,6;;
251240 PUXINANA;47,7;;
251250 QUEIMADAS;42,7;;
251260 QUIXABA;54,5;;
251270 REMIGIO;47,4;;
251280 RIACHO DOS CAVALOS;54;;
251290 RIO TINTO;51,9;;
251300 SALGADINHO;57,4;;
251310 SALGADO DE SAO FELIX;56,8;;
251320 SANTA CRUZ;42,6;;
251330 SANTA HELENA;46,3;;
251340 SANTA LUZIA;34;;
251350 SANTANA DE MANGUEIRA;68,8;;
251360 SANTANA DOS GARROTES;54,9;;
251370 SANTA RITA;39,2;;
251380 SANTA TERESINHA;56,5;;
251390 SAO BENTO;50,8;;
251400 SAO JOAO DO CARIRI;41,6;;
251410 SAO JOAO DO TIGRE;62,4;;
251420 SAO JOSE DA LAGOA TAPADA;59,6;;
251430 SAO JOSE DE CAIANA;61,6;;
251440 SAO JOSE DE ESPINHARAS;51,2;;
251450 SAO JOSE DE PIRANHAS;47,6;;
251460 SAO JOSE DO BONFIM;42,5;;
251470 SAO JOSE DO SABUGI;40;;
251480 SAO JOSE DOS CORDEIROS;36,3;;
251490 SAO MAMEDE;38,3;;
251500 SAO MIGUEL DE TAIPU;60,8;;
251510 SAO SEBASTIAO DE LAGOA DE ROCA;51,8;;
251520 SAO SEBASTIAO DO UMBUZEIRO;48,8;;
251530 SAPE;53,5;;
251540 SAO VICENTE DO SERIDO;49,2;;
251550 SERRA BRANCA;36,1;;
251560 SERRA DA RAIZ;58,6;;
251570 SERRA GRANDE;56,2;;
251580 SERRA REDONDA;55,1;;
251590 SERRARIA;61,6;;
251600 SOLANEA;55,3;;
251610 SOLEDADE;40,8;;
251620 SOUSA;40,2;;
251630 SUME;42,8;;
251640 TACIMA;62,4;;
251650 TAPEROA;43,7;;
251660 TAVARES;55,5;;
251670 TEIXEIRA;46,8;;
251680 TRIUNFO;47,8;;
251690 UIRAUNA;49,4;;
251700 UMBUZEIRO;59,7;;
251710 VARZEA;26,5;;
260005 ABREU E LIMA;20,1;;
260010 AFOGADOS DA INGAZEIRA;35,5;;
260020 AFRANIO;55,8;;
260030 AGRESTINA;55,7;;
260040 AGUA PRETA;58,9;;
260050 AGUAS BELAS;63,1;;
260060 ALAGOINHA;38,7;;
260070 ALIANCA;47,3;;
260080 ALTINHO;59,1;;
260090 AMARAJI;53,7;;
260100 ANGELIM;53,7;;
260110 ARARIPINA;45,3;;
260120 ARCOVERDE;29,8;;
260130 BARRA DE GUABIRABA;55,3;;
260140 BARREIROS;38,8;;
260150 BELEM DE MARIA;52,9;;
260160 BELEM DE SAO FRANCISCO;42;;
260170 BELO JARDIM;46,5;;
260180 BETANIA;49,9;;
260190 BEZERROS;49,3;;
260200 BODOCO;49;;
260210 BOM CONSELHO;53,8;;
260220 BOM JARDIM;50,6;;
260230 BONITO;57,3;;
260240 BREJAO;54,9;;
260250 BREJINHO;50,7;;
260260 BREJO DA MADRE DE DEUS;54,1;;
260270 BUENOS AIRES;49,6;;
260280 BUIQUE;61,2;;
260290 CABO DE SANTO AGOSTINHO;26,4;;
260300 CABROBO;42,6;;
260310 CACHOEIRINHA;49,5;;
260320 CAETES;61,6;;
260330 CALCADO;49,9;;
260340 CALUMBI;54,2;;
260345 CAMARAGIBE;21,3;;
260350 CAMOCIM DE SAO FELIX;49,7;;
260360 CAMUTANGA;40,7;;
260370 CANHOTINHO;58,7;;
260380 CAPOEIRAS;53,6;;
260390 CARNAIBA;50,3;;
260400 CARPINA;33,3;;
260410 CARUARU;29,9;;
260420 CATENDE;44,9;;
260430 CEDRO;40,8;;
260440 CHA DE ALEGRIA;49,5;;
260450 CHA GRANDE;54,4;;
260460 CONDADO;45,1;;
260470 CORRENTES;53,9;;
260480 CORTES;52,8;;
260490 CUMARU;53;;
260500 CUPIRA;51,5;;
260510 CUSTODIA;48;;
260520 ESCADA;40;;
260530 EXU;50;;
260540 FEIRA NOVA;49,4;;
260545 FERNANDO DE NORONHA;9,2;;
260550 FERREIROS;47,8;;
260560 FLORES;48,8;;
260570 FLORESTA;37,6;;
260580 FREI MIGUELINHO;53,4;;
260590 GAMELEIRA;48;;
260600 GARANHUNS;31,9;;
260610 GLORIA DO GOITA;50,9;;
260620 GOIANA;34,5;;
260630 GRANITO;47,5;;
260640 GRAVATA;43;;
260650 IATI;69;;
260660 IBIMIRIM;55,3;;
260670 IBIRAJUBA;53,4;;
260680 IGARASSU;34,9;;
260690 IGUARACY;47,4;;
260700 INAJA;68,7;;
260710 INGAZEIRA;38,5;;
260720 IPOJUCA;47;;
260730 IPUBI;63,3;;
260740 ITACURUBA;38,2;;
260750 ITAIBA;67,8;;
260760 ILHA DE ITAMARACA;24,5;;
260765 ITAMBE;54,1;;
260770 ITAPETIM;42;;
260775 ITAPISSUMA;34,4;;
260780 ITAQUITINGA;47,3;;
260790 JABOATAO DOS GUARARAPES;18,4;;
260800 JATAUBA;55,5;;
260810 JOAO ALFREDO;56,2;;
260820 JOAQUIM NABUCO;49,8;;
260830 JUPI;51,6;;
260840 JUREMA;63,1;;
260850 LAGOA DE ITAENGA;51,9;;
260860 LAGOA DO OURO;54,9;;
260870 LAGOA DOS GATOS;66,9;;
260880 LAJEDO;46,2;;
260890 LIMOEIRO;35,5;;
260900 MACAPARANA;49,3;;
260910 MACHADOS;49,6;;
260920 MARAIAL;60,8;;
260930 MIRANDIBA;37,3;;
260940 MORENO;29,1;;
260950 NAZARE DA MATA;32,4;;
260960 OLINDA;13,9;;
260970 OROBO;48,5;;
260980 OROCO;48,9;;
260990 OURICURI;52,5;;
261000 PALMARES;40,1;;
261010 PALMEIRINA;48,8;;
261020 PANELAS;66,1;;
261030 PARANATAMA;60,1;;
261040 PARNAMIRIM;45,3;;
261050 PASSIRA;54,4;;
261060 PAUDALHO;40,9;;
261070 PAULISTA;12,1;;
261080 PEDRA;50,6;;
261090 PESQUEIRA;43,3;;
261100 PETROLANDIA;32,2;;
261110 PETROLINA;25,1;;
261120 POCAO;52,5;;
261130 POMBOS;54,3;;
261140 PRIMAVERA;50,9;;
261150 QUIPAPA;57,1;;
261160 RECIFE;13,7;;
261170 RIACHO DAS ALMAS;54,3;;
261180 RIBEIRAO;45,4;;
261190 RIO FORMOSO;47;;
261200 SAIRE;50,9;;
261210 SALGADINHO;52,9;;
261220 SALGUEIRO;32,5;;
261230 SALOA;53,6;;
261240 SANHARO;44,7;;
261250 SANTA CRUZ DO CAPIBARIBE;34,1;;
261260 SANTA MARIA DA BOA VISTA;43,7;;
261270 SANTA MARIA DO CAMBUCA;55,3;;
261280 SANTA TEREZINHA;44;;
261290 SAO BENEDITO DO SUL;69,9;;
261300 SAO BENTO DO UNA;52,1;;
261310 SAO CAITANO;57,1;;
261320 SAO JOAO;54,7;;
261330 SAO JOAQUIM DO MONTE;58,3;;
261340 SAO JOSE DA COROA GRANDE;51,4;;
261350 SAO JOSE DO BELMONTE;46,9;;
261360 SAO JOSE DO EGITO;36,5;;
261370 SAO LOURENCO DA MATA;29,8;;
261380 SAO VICENTE FERRER;51,3;;
261390 SERRA TALHADA;40,7;;
261400 SERRITA;49,7;;
261410 SERTANIA;41,8;;
261420 SIRINHAEM;50,3;;
261430 MOREILANDIA;48,8;;
261440 SOLIDAO;45,5;;
261450 SURUBIM;46,4;;
261460 TABIRA;36,1;;
261470 TACAIMBO;69,6;;
261480 TACARATU;43,2;;
261500 TAQUARITINGA DO NORTE;35,9;;
261510 TEREZINHA;59;;
261520 TERRA NOVA;36,8;;
261530 TIMBAUBA;40,1;;
261540 TORITAMA;31,9;;
261550 TRACUNHAEM;46,7;;
261560 TRINDADE;46,4;;
261570 TRIUNFO;37,6;;
261580 TUPANATINGA;69,5;;
261590 TUPARETAMA;38,3;;
261600 VENTUROSA;46,1;;
261610 VERDEJANTE;45,8;;
261620 VERTENTES;46,7;;
261630 VICENCIA;48,9;;
261640 VITORIA DE SANTO ANTAO;37,1;;
270010 AGUA BRANCA;49,2;;
270020 ANADIA;59,3;;
270030 ARAPIRACA;39,3;;
270040 ATALAIA;66,1;;
270050 BARRA DE SANTO ANTONIO;56,5;;
270060 BARRA DE SAO MIGUEL;53,2;;
270070 BATALHA;55,9;;
270080 BELEM;54,6;;
270090 BELO MONTE;55,9;;
270100 BOCA DA MATA;53,2;;
270110 BRANQUINHA;72,7;;
270120 CACIMBINHAS;63,3;;
270130 CAJUEIRO;57,3;;
270140 CAMPO ALEGRE;52,1;;
270150 CAMPO GRANDE;64,2;;
270160 CANAPI;65,8;;
270170 CAPELA;61,3;;
270180 CARNEIROS;42,1;;
270190 CHA PRETA;62,2;;
270200 COITE DO NOIA;60,8;;
270210 COLONIA LEOPOLDINA;59;;
270220 COQUEIRO SECO;41,9;;
270230 CORURIPE;52,1;;
270235 CRAIBAS;71,4;;
270240 DELMIRO GOUVEIA;38,3;;
270250 DOIS RIACHOS;61,5;;
270260 FEIRA GRANDE;58;;
270270 FELIZ DESERTO;52,5;;
270280 FLEXEIRAS;59,8;;
270290 GIRAU DO PONCIANO;64,8;;
270300 IBATEGUARA;60;;
270310 IGACI;63,7;;
270320 IGREJA NOVA;66,4;;
270330 INHAPI;67,4;;
270340 JACARE DOS HOMENS;57,4;;
270350 JACUIPE;68,3;;
270360 JAPARATINGA;49,5;;
270370 JARAMATAIA;72,1;;
270380 JOAQUIM GOMES;67,5;;
270390 JUNDIA;48,9;;
270400 JUNQUEIRO;53,3;;
270410 LAGOA DA CANOA;61,6;;
270420 LIMOEIRO DE ANADIA;61,6;;
270430 MACEIO;20,8;;
270440 MAJOR ISIDORO;63,4;;
270450 MARAGOGI;45,3;;
270460 MARAVILHA;59,7;;
270470 MARECHAL DEODORO;49,1;;
270480 MARIBONDO;53,8;;
270490 MAR VERMELHO;47,1;;
270500 MATA GRANDE;58;;
270510 MATRIZ DE CAMARAGIBE;51,8;;
270520 MESSIAS;48,4;;
270530 MINADOR DO NEGRAO;54,1;;
270540 MONTEIROPOLIS;62,8;;
270550 MURICI;56,6;;
270560 NOVO LINO;59,8;;
270570 OLHO D'AGUA DAS FLORES;43,8;;
270580 OLHO D'AGUA DO CASADO;55,6;;
270590 OLHO D'AGUA GRANDE;71,8;;
270600 OLIVENCA;58,2;;
270610 OURO BRANCO;47,4;;
270620 PALESTINA;49,4;;
270630 PALMEIRA DOS INDIOS;41,6;;
270640 PAO DE ACUCAR;48,1;;
270650 PASSO DE CAMARAGIBE;60,8;;
270660 PAULO JACINTO;57,5;;
270670 PENEDO;38,1;;
270680 PIACABUCU;56;;
270690 PILAR;50,5;;
270700 PINDOBA;55,2;;
270710 PIRANHAS;41,5;;
270720 POCO DAS TRINCHEIRAS;57,8;;
270730 PORTO CALVO;53,9;;
270740 PORTO DE PEDRAS;63,1;;
270750 PORTO REAL DO COLEGIO;55,4;;
270760 QUEBRANGULO;58,3;;
270770 RIO LARGO;34,4;;
270780 ROTEIRO;65,9;;
270790 SANTA LUZIA DO NORTE;34;;
270800 SANTANA DO IPANEMA;44,8;;
270810 SANTANA DO MUNDAU;64,7;;
270820 SAO BRAS;58,2;;
270830 SAO JOSE DA LAJE;53,2;;
270840 SAO JOSE DA TAPERA;70,5;;
270850 SAO LUIS DO QUITUNDE;66,4;;
270860 SAO MIGUEL DOS CAMPOS;46,9;;
270870 SAO MIGUEL DOS MILAGRES;47,4;;
270880 SAO SEBASTIAO;63;;
270890 SATUBA;38,5;;
270895 SENADOR RUI PALMEIRA;52,1;;
270900 TANQUE D'ARCA;58,8;;
270910 TAQUARANA;61,5;;
270915 TEOTONIO VILELA;54,5;;
270920 TRAIPU;65,9;;
270930 UNIAO DOS PALMARES;53;;
270940 VICOSA;52,7;;
280010 AMPARO DE SAO FRANCISCO;54;;
280020 AQUIDABA;47,9;;
280030 ARACAJU;13,4;;
280040 ARAUA;52,4;;
280050 AREIA BRANCA;50,3;;
280060 BARRA DOS COQUEIROS;26;;
280067 BOQUIM;40;;
280070 BREJO GRANDE;51,6;;
280100 CAMPO DO BRITO;50,4;;
280110 CANHOBA;51,5;;
280120 CANINDE DE SAO FRANCISCO;58,1;;
280130 CAPELA;41,6;;
280140 CARIRA;57,9;;
280150 CARMOPOLIS;30,2;;
280160 CEDRO DE SAO JOAO;31,9;;
280170 CRISTINAPOLIS;60;;
280190 CUMBE;45;;
280200 DIVINA PASTORA;36,8;;
280210 ESTANCIA;34,2;;
280220 FEIRA NOVA;58,1;;
280230 FREI PAULO;47,3;;
280240 GARARU;53,4;;
280250 GENERAL MAYNARD;32,7;;
280260 GRACHO CARDOSO;49;;
280270 ILHA DAS FLORES;49,2;;
280280 INDIAROBA;57,8;;
280290 ITABAIANA;40,4;;
280300 ITABAIANINHA;54,6;;
280310 ITABI;43;;
280320 ITAPORANGA D'AJUDA;54;;
280330 JAPARATUBA;37,1;;
280340 JAPOATA;53,3;;
280350 LAGARTO;44,3;;
280360 LARANJEIRAS;35,2;;
280370 MACAMBIRA;47,7;;
280380 MALHADA DOS BOIS;48,6;;
280390 MALHADOR;40;;
280400 MARUIM;32,2;;
280410 MOITA BONITA;41,7;;
280420 MONTE ALEGRE DE SERGIPE;59;;
280430 MURIBECA;45,7;;
280440 NEOPOLIS;40,9;;
280445 NOSSA SENHORA APARECIDA;61,2;;
280450 NOSSA SENHORA DA GLORIA;47,6;;
280460 NOSSA SENHORA DAS DORES;46,7;;
280470 NOSSA SENHORA DE LOURDES;49,3;;
280480 NOSSA SENHORA DO SOCORRO;23,8;;
280490 PACATUBA;52,9;;
280500 PEDRA MOLE;48,9;;
280510 PEDRINHAS;46;;
280520 PINHAO;58,5;;
280530 PIRAMBU;41,3;;
280540 POCO REDONDO;68,2;;
280550 POCO VERDE;49,4;;
280560 PORTO DA FOLHA;51,8;;
280570 PROPRIA;31,5;;
280580 RIACHAO DO DANTAS;60,8;;
280590 RIACHUELO;38,5;;
280600 RIBEIROPOLIS;45,4;;
280610 ROSARIO DO CATETE;35;;
280620 SALGADO;52,5;;
280630 SANTA LUZIA DO ITANHY;62,8;;
280650 SANTA ROSA DE LIMA;48,1;;
280660 SANTO AMARO DAS BROTAS;40;;
280670 SAO CRISTOVAO;25,6;;
280680 SAO DOMINGOS;55,5;;
280690 SAO FRANCISCO;43,7;;
280700 SAO MIGUEL DO ALEIXO;66,9;;
280710 SIMAO DIAS;46,2;;
280720 SIRIRI;41,9;;
280730 TELHA;48,7;;
280740 TOBIAS BARRETO;45,3;;
280750 TOMAR DO GERU;56;;
280760 UMBAUBA;45,8;;
290010 ABAIRA;32,1;;
290020 ABARE;47,3;;
290030 ACAJUTIBA;44,8;;
290035 ADUSTINA;65,7;;
290040 AGUA FRIA;50,4;;
290050 ERICO CARDOSO;48,6;;
290060 AIQUARA;45,9;;
290070 ALAGOINHAS;22,3;;
290080 ALCOBACA;45,2;;
290090 ALMADINA;54,1;;
290100 AMARGOSA;40,4;;
290110 AMELIA RODRIGUES;29;;
290115 AMERICA DOURADA;35,1;;
290120 ANAGE;46;;
290130 ANDARAI;52,9;;
290135 ANDORINHA;50,4;;
290140 ANGICAL;51;;
290150 ANGUERA;42,8;;
290160 ANTAS;56,7;;
290170 ANTONIO CARDOSO;50,9;;
290180 ANTONIO GONCALVES;44,6;;
290190 APORA;49,9;;
290195 APUAREMA;52;;
290200 ARACATU;46;;
290205 ARACAS;53,4;;
290210 ARACI;59,2;;
290220 ARAMARI;36,5;;
290225 ARATACA;54;;
290230 ARATUIPE;53,8;;
290240 AURELINO LEAL;50,6;;
290250 BAIANOPOLIS;52,7;;
290260 BAIXA GRANDE;48,3;;
290265 BANZAE;53;;
290270 BARRA;48;;
290280 BARRA DA ESTIVA;36,8;;
290290 BARRA DO CHOCA;57;;
290300 BARRA DO MENDES;27,1;;
290310 BARRA DO ROCHA;62,3;;
290320 BARREIRAS;26,3;;
290323 BARRO ALTO;30,9;;
290330 BARRO PRETO;47,3;;
290340 BELMONTE;47,7;;
290350 BELO CAMPO;50,9;;
290360 BIRITINGA;43,8;;
290370 BOA NOVA;63,9;;
290380 BOA VISTA DO TUPIM;53,4;;
290390 BOM JESUS DA LAPA;37,9;;
290395 BOM JESUS DA SERRA;55;;
290400 BONINAL;42;;
290405 BONITO;35,4;;
290410 BOQUIRA;42,8;;
290420 BOTUPORA;54,4;;
290430 BREJOES;47,6;;
290440 BREJOLANDIA;46,8;;
290450 BROTAS DE MACAUBAS;33,7;;
290460 BRUMADO;32,7;;
290470 BUERAREMA;41,8;;
