;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 2010;;;
Município;% população com renda < 1/2 SM;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres. Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
140050 SAO JOAO DA BALIZA;57,93;;
140060 SAO LUIZ;63,43;;
140070 UIRAMUTA;87,12;;
150010 ABAETETUBA;66,65;;
150013 ABEL FIGUEIREDO;59,86;;
150020 ACARA;76,68;;
150030 AFUA;83,56;;
150034 AGUA AZUL DO NORTE;64,59;;
150040 ALENQUER;77;;
150050 ALMEIRIM;59,33;;
150060 ALTAMIRA;47,66;;
150070 ANAJAS;82,47;;
150080 ANANINDEUA;39,64;;
150085 ANAPU;67,34;;
150090 AUGUSTO CORREA;83,21;;
150095 AURORA DO PARA;79,91;;
150100 AVEIRO;84,84;;
150110 BAGRE;85,93;;
150120 BAIAO;71,53;;
150125 BANNACH;60,57;;
150130 BARCARENA;52,16;;
150140 BELEM;36,23;;
150145 BELTERRA;73,37;;
150150 BENEVIDES;52,32;;
150157 BOM JESUS DO TOCANTINS;60;;
150160 BONITO;74,46;;
150170 BRAGANCA;67,27;;
150172 BRASIL NOVO;63,03;;
150175 BREJO GRANDE DO ARAGUAIA;66,41;;
150178 BREU BRANCO;72,02;;
150180 BREVES;79,7;;
150190 BUJARU;81,8;;
150195 CACHOEIRA DO PIRIA;89,34;;
150200 CACHOEIRA DO ARARI;74,93;;
150210 CAMETA;75,44;;
150215 CANAA DOS CARAJAS;48,1;;
150220 CAPANEMA;57,31;;
150230 CAPITAO POCO;74,15;;
150240 CASTANHAL;50,34;;
150250 CHAVES;78,78;;
150260 COLARES;75,47;;
150270 CONCEICAO DO ARAGUAIA;51,81;;
