;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
251190 PITIMBU;-;40;4.782;712;4;7;3.870;9.415;
251200 POCINHOS;-;293;6.832;30;15;28;7.297;14.495;
251210 POMBAL;294;16;15.637;950;2.654;373;19.493;39.417;
251220 PRATA;-;36;1.643;-;5;54;1.572;3.310;
251230 PRINCESA ISABEL;-;17;7.513;44;3.194;44;11.336;22.148;
251240 PUXINANA;-;1.330;6.077;512;11;19;3.596;11.545;
251250 QUEIMADAS;-;4.375;12.369;3.357;165;30;12.172;32.468;
251260 QUIXABA;-;39;675;9;-;11;921;1.655;
251270 REMIGIO;-;5;8.162;154;2.689;16;6.113;17.139;
251280 RIACHO DOS CAVALOS;9;1.597;791;501;23;-;6.520;9.441;
251290 RIO TINTO;30;1.982;14.405;145;-;4;10.491;27.057;
251300 SALGADINHO;-;48;462;220;18;3;1.959;2.710;
251310 SALGADO DE SAO FELIX;-;-;5.649;14;436;-;6.348;12.447;
251320 SANTA CRUZ;8;48;2.398;322;81;10;4.537;7.404;
251330 SANTA HELENA;-;13;1.895;628;389;4;3.195;6.124;
251340 SANTA LUZIA;-;10;4.101;575;4.383;68;3.870;13.007;
251350 SANTANA DE MANGUEIRA;-;-;779;32;-;2;5.684;6.497;
251360 SANTANA DOS GARROTES;12;-;1.505;12;-;-;6.528;8.057;
251370 SANTA RITA;6.092;19.194;55.524;915;671;149;11.724;94.269;
251380 SANTA TERESINHA;-;17;1.227;45;301;-;3.293;4.883;
251390 SAO BENTO;7;5.681;5.936;328;25;285;9.266;21.528;
251400 SAO JOAO DO CARIRI;4;857;850;623;21;28;5.153;7.536;
251410 SAO JOAO DO TIGRE;-;-;567;-;-;5;3.574;4.146;
251420 SAO JOSE DA LAGOA TAPADA;-;-;658;20;873;3;6.072;7.626;
251430 SAO JOSE DE CAIANA;-;-;1.571;-;-;-;3.758;5.329;
251440 SAO JOSE DE ESPINHARAS;-;-;2.681;80;-;-;3.228;5.989;
251450 SAO JOSE DE PIRANHAS;12;17;2.979;303;1.719;198;12.368;17.596;
251460 SAO JOSE DO BONFIM;-;6;1.085;42;-;3;1.650;2.786;
251470 SAO JOSE DO SABUGI;-;-;2.127;539;45;-;1.286;3.997;
251480 SAO JOSE DOS CORDEIROS;-;1;1.155;-;1;-;5.003;6.160;
251490 SAO MAMEDE;-;157;1.366;200;3.163;-;3.622;8.508;
251500 SAO MIGUEL DE TAIPU;-;82;2.301;-;32;4;1.784;4.203;
251510 SAO SEBASTIAO DE LAGOA DE ROCA;-;2.532;2.719;92;8;29;3.386;8.766;
251520 SAO SEBASTIAO DO UMBUZEIRO;-;-;2.049;-;-;-;2.392;4.441;
251530 SAPE;5.712;402;36.734;312;206;17;15.083;58.466;
251540 SAO VICENTE DO SERIDO;-;4;2.265;157;-;-;5.444;7.870;
251550 SERRA BRANCA;-;1.942;5.226;13;139;408;5.837;13.565;
251560 SERRA DA RAIZ;-;1.318;1.008;203;-;9;1.165;3.703;
251570 SERRA GRANDE;-;-;327;-;238;-;2.030;2.595;
251580 SERRA REDONDA;-;138;2.409;1.694;26;3;2.993;7.263;
251590 SERRARIA;-;1.026;1.544;1.237;24;15;5.700;9.546;
251600 SOLANEA;-;8.161;8.643;367;158;547;14.823;32.699;
251610 SOLEDADE;18;19;4.342;322;2.212;10;4.231;11.154;
251620 SOUSA;16.670;3.832;12.690;2.226;9.288;162;33.590;78.458;
251630 SUME;-;29;9.874;45;64;35;7.107;17.154;
251640 TACIMA;-;3.754;1.217;11;-;11;5.407;10.400;
251650 TAPEROA;-;17;1.763;698;4.350;18;8.329;15.175;
251660 TAVARES;-;11;3.748;528;741;24;9.261;14.313;
251670 TEIXEIRA;-;44;7.055;62;451;40;9.851;17.503;
251680 TRIUNFO;12;47;1.762;57;20;11;8.694;10.603;
251690 UIRAUNA;-;227;3.971;407;2.010;90;13.371;20.076;
251700 UMBUZEIRO;-;86;4.179;1.697;59;21;11.245;17.287;
251710 VARZEA;-;-;1.371;-;4;-;823;2.198;
260005 ABREU E LIMA;25.931;1.621;39.358;853;222;48;8.622;76.655;
260010 AFOGADOS DA INGAZEIRA;87;16;8.466;281;8.239;361;12.074;29.524;
260020 AFRANIO;-;-;2.491;53;9;-;10.737;13.290;
260030 AGRESTINA;-;4.711;5.320;315;952;33;6.526;17.857;
260040 AGUA PRETA;-;389;16.531;148;2.072;112;17.193;36.445;
260050 AGUAS BELAS;-;782;11.056;244;47;46;26.119;38.294;
260060 ALAGOINHA;-;1.443;3.498;151;4;-;5.941;11.037;
260070 ALIANCA;161;1.381;25.023;1.622;222;7;8.964;37.380;
260080 ALTINHO;-;1.489;4.162;84;3.713;26;13.646;23.120;
260090 AMARAJI;-;304;7.363;163;2.255;7;9.297;19.389;
260100 ANGELIM;-;10;4.152;21;925;1;3.623;8.732;
260110 ARARIPINA;-;34;13.688;760;5.155;128;40.588;60.353;
260120 ARCOVERDE;2.751;194;13.309;744;27.711;444;10.392;55.545;
260130 BARRA DE GUABIRABA;-;19;6.486;260;1.840;-;1.895;10.500;
260140 BARREIROS;-;880;19.965;374;2.656;275;16.164;40.314;
260150 BELEM DE MARIA;-;199;4.112;581;1.716;68;5.388;12.064;
260160 BELEM DE SAO FRANCISCO;-;107;8.406;51;210;2;14.031;22.807;
260170 BELO JARDIM;4.286;281;10.688;2.108;27.812;196;15.211;60.582;
260180 BETANIA;-;5;1.517;173;22;-;9.499;11.216;
260190 BEZERROS;-;16.816;20.078;681;2.033;283;12.136;52.027;
260200 BODOCO;-;48;5.686;73;49;71;22.481;28.408;
260210 BOM CONSELHO;-;41;7.042;1.174;10.556;43;22.252;41.108;
260220 BOM JARDIM;65;15;16.643;4.928;1.685;11;13.424;36.771;
260230 BONITO;-;4.131;15.029;776;773;98;14.206;35.013;
260240 BREJAO;-;13;3.602;64;3;14;4.963;8.659;
260250 BREJINHO;-;5;1.169;33;813;5;5.378;7.403;
260260 BREJO DA MADRE DE DEUS;-;342;8.458;1.199;5.715;42;15.385;31.141;
260270 BUENOS AIRES;-;5;7.403;903;56;-;4.094;12.461;
260280 BUIQUE;-;206;9.098;166;1.062;35;27.533;38.100;
260290 CABO DE SANTO AGOSTINHO;17.884;7.286;74.216;2.524;4.469;224;20.168;126.771;
260300 CABROBO;26;23;737;93;8.801;4;14.182;23.866;
260310 CACHOEIRINHA;56;159;3.158;157;7.179;162;4.857;15.728;
260320 CAETES;-;3;3.999;2;1.354;-;15.247;20.605;
260330 CALCADO;-;-;4.505;24;596;15;4.241;9.381;
260340 CALUMBI;-;744;423;389;46;12;5.257;6.871;
260345 CAMARAGIBE;1.755;17.346;63.028;1.795;6.161;433;8.375;98.893;
260350 CAMOCIM DE SAO FELIX;-;2.502;9.220;36;28;190;1.804;13.780;
260360 CAMUTANGA;17;270;4.349;319;49;-;2.476;7.480;
260370 CANHOTINHO;-;740;9.949;80;2.767;34;10.752;24.322;
260380 CAPOEIRAS;-;73;2.057;70;3.514;-;13.835;19.549;
260390 CARNAIBA;-;33;5.992;22;30;11;19.826;25.914;
260400 CARPINA;-;1.723;58.620;315;51;241;4.991;65.941;
260410 CARUARU;137.345;7.097;24.009;7.018;7.889;519;29.194;213.071;
260420 CATENDE;-;1.546;9.132;279;9.982;35;10.324;31.298;
260430 CEDRO;6;254;3.278;11;186;21;5.230;8.986;
260440 CHA DE ALEGRIA;-;7;8.488;-;2;-;2.393;10.890;
260450 CHA GRANDE;-;22;9.010;1.201;540;-;4.649;15.422;
260460 CONDADO;-;7;14.340;38;66;1;3.934;18.386;
260470 CORRENTES;-;46;5.712;614;452;9;9.375;16.208;
260480 CORTES;-;1.820;7.781;11;57;23;2.693;12.385;
260490 CUMARU;526;16;7.239;660;23;3;9.479;17.946;
260500 CUPIRA;-;5;3.133;780;11.136;18;7.593;22.665;
260510 CUSTODIA;-;27;2.655;205;8.753;152;17.033;28.825;
260520 ESCADA;-;1.256;31.930;799;4.808;56;16.694;55.543;
260530 EXU;-;115;8.433;422;50;14;22.841;31.875;
260540 FEIRA NOVA;-;11;13.695;28;39;24;4.646;18.443;
260545 FERNANDO DE NORONHA;924;5;399;-;-;-;23;1.351;
260550 FERREIROS;418;-;6.091;370;840;2;3.179;10.900;
260560 FLORES;-;4;4.722;24;385;35;16.560;21.730;
260570 FLORESTA;-;4;10.695;55;631;199;20.553;32.137;
260580 FREI MIGUELINHO;-;13;5.130;430;16;-;8.505;14.094;
260590 GAMELEIRA;-;811;11.896;349;571;67;5.819;19.513;
260600 GARANHUNS;-;2.682;71.371;849;8.936;1.204;17.963;103.005;
260610 GLORIA DO GOITA;-;3.123;10.219;614;56;56;12.705;26.773;
260620 GOIANA;-;512;44.600;405;1.044;556;16.894;64.011;
260630 GRANITO;-;-;1.341;-;33;-;4.565;5.939;
260640 GRAVATA;-;13.637;21.650;1.244;8.689;305;15.701;61.226;
260650 IATI;566;8;5.448;34;6;-;12.477;18.539;
260660 IBIMIRIM;-;2.291;9.784;25;93;26;15.806;28.025;
260670 IBIRAJUBA;-;71;2.490;278;516;12;4.174;7.541;
260680 IGARASSU;1.297;13.868;45.912;1.668;309;517;15.624;79.195;
260690 IGUARACY;-;78;4.153;115;43;-;6.803;11.192;
260700 INAJA;-;2;4.255;60;504;9;18.008;22.838;
260710 INGAZEIRA;-;17;999;59;364;-;2.979;4.418;
260720 IPOJUCA;-;4.073;24.225;1.537;310;48;15.074;45.267;
260730 IPUBI;-;6;6.797;272;6;-;14.116;21.197;
260740 ITACURUBA;2.356;12;201;-;6;-;625;3.200;
260750 ITAIBA;-;7;6.845;41;11;-;20.193;27.097;
260760 ILHA DE ITAMARACA;-;127;6.799;19;17;-;3.068;10.030;
260765 ITAMBE;-;90;21.592;598;112;5;11.730;34.127;
260770 ITAPETIM;5;-;6.161;24;171;17;9.272;15.650;
260775 ITAPISSUMA;-;1.079;12.783;23;93;15;2.355;16.348;
260780 ITAQUITINGA;-;18;9.416;157;45;16;4.353;14.005;
260790 JABOATAO DOS GUARARAPES;47.699;97.739;254.923;9.386;23.936;3.035;48.722;485.440;
260800 JATAUBA;-;163;3.354;143;667;46;10.039;14.412;
260810 JOAO ALFREDO;68;49;8.967;2.034;2.403;106;13.757;27.384;
260820 JOAQUIM NABUCO;-;183;9.800;435;335;4;4.869;15.626;
260830 JUPI;-;8;8.736;25;1.620;16;9.438;19.843;
260840 JUREMA;-;24;4.093;108;2.137;8;6.265;12.635;
260850 LAGOA DE ITAENGA;-;29;14.576;93;81;2;1.723;16.504;
260860 LAGOA DO OURO;-;23;3.594;13;129;8;7.597;11.364;
260870 LAGOA DOS GATOS;-;25;6.869;195;2.158;28;7.461;16.736;
260880 LAJEDO;18;1.175;10.399;187;9.840;116;7.911;29.646;
260890 LIMOEIRO;273;275;38.595;2.142;3.102;382;9.995;54.764;
260900 MACAPARANA;783;432;12.883;557;328;88;5.760;20.831;
260910 MACHADOS;-;-;5.082;649;-;-;3.270;9.001;
260920 MARAIAL;-;4.767;7.356;146;57;4;9.120;21.450;
260930 MIRANDIBA;-;21;3.786;236;478;33;8.257;12.811;
260940 MORENO;2.120;681;25.878;190;2.503;72;7.622;39.066;
260950 NAZARE DA MATA;8.175;123;10.867;1.169;1.672;129;4.266;26.401;
260960 OLINDA;119.627;61.405;112.161;10.421;6.064;1.551;28.785;340.014;
260970 OROBO;-;-;8.886;2.370;313;7;9.291;20.867;
260980 OROCO;-;262;3.967;59;621;36;5.757;10.702;
260990 OURICURI;-;8;9.636;1.340;7.515;74;54.776;73.349;
261000 PALMARES;-;1.824;31.446;254;12.166;464;11.353;57.507;
261010 PALMEIRINA;-;144;2.852;169;626;3;4.494;8.288;
261020 PANELAS;-;42;8.683;527;43;11;17.334;26.640;
261030 PARANATAMA;-;-;2.030;-;9;-;9.315;11.354;
261040 PARNAMIRIM;-;-;1.164;4;3.477;8;14.004;18.657;
261050 PASSIRA;158;-;15.770;8;9;3;13.137;29.085;
261060 PAUDALHO;-;78;29.739;584;1.656;17;7.284;39.358;
261070 PAULISTA;115.839;25.233;46.448;6.131;1.574;624;14.595;210.444;
261080 PEDRA;-;2.626;5.195;155;108;23;11.364;19.471;
261090 PESQUEIRA;-;38;16.214;2.576;18.274;196;20.060;57.358;
261100 PETROLANDIA;13.597;248;11.438;124;434;9;6.795;32.645;
261110 PETROLINA;65.350;9.505;51.265;1.063;418;119;46.417;174.137;
261120 POCAO;-;2;3.980;7;330;56;5.164;9.539;
261130 POMBOS;-;1.450;6.650;913;3.448;121;8.659;21.241;
261140 PRIMAVERA;-;16;2.310;266;3.787;1;4.467;10.847;
261150 QUIPAPA;-;128;7.225;225;3.252;83;10.179;21.092;
261160 RECIFE;390.356;253.280;481.349;35.916;34.836;4.499;90.055;1.290.291;
261170 RIACHO DAS ALMAS;-;41;4.229;243;2.467;6;10.939;17.925;
261180 RIBEIRAO;-;14.996;13.804;502;1.583;101;9.920;40.906;
261190 RIO FORMOSO;-;9.257;6.635;96;1.082;126;16.547;33.743;
261200 SAIRE;-;91;5.363;201;31;-;5.417;11.103;
261210 SALGADINHO;-;6;2.730;558;213;9;2.391;5.907;
261220 SALGUEIRO;17;12;18.115;3;10.493;128;18.367;47.135;
261230 SALOA;-;18;4.819;142;9;26;9.787;14.801;
261240 SANHARO;-;182;6.339;164;928;91;7.285;14.989;
261250 SANTA CRUZ DO CAPIBARIBE;4.603;239;11.297;285;17.303;242;4.301;38.270;
261260 SANTA MARIA DA BOA VISTA;-;126;22.275;137;18;28;19.103;41.687;
261270 SANTA MARIA DO CAMBUCA;-;3;3.984;350;390;16;6.643;11.386;
261280 SANTA TEREZINHA;48;-;2.199;36;1.437;6;5.851;9.577;
261290 SAO BENEDITO DO SUL;-;35;3.873;98;353;13;5.501;9.873;
261300 SAO BENTO DO UNA;72;21;14.635;2.131;6.183;44;18.980;42.066;
261310 SAO CAITANO;-;5.124;11.365;253;1.170;49;11.566;29.527;
261320 SAO JOAO;-;67;9.521;13;-;10;9.253;18.864;
261330 SAO JOAQUIM DO MONTE;-;277;2.879;30;5.330;314;8.345;17.175;
261340 SAO JOSE DA COROA GRANDE;-;1.404;4.316;125;9;15;5.583;11.452;
261350 SAO JOSE DO BELMONTE;-;5.526;4.434;60;30;336;20.578;30.964;
261360 SAO JOSE DO EGITO;19;15;5.594;1.053;9.009;139;12.825;28.654;
261370 SAO LOURENCO DA MATA;11.049;9.145;49.287;2.027;1.364;685;11.571;85.128;
261380 SAO VICENTE FERRER;1.321;906;4.454;3.033;373;164;3.894;14.145;
261390 SERRA TALHADA;71;5;8.510;1.279;28.612;211;33.507;72.195;
261400 SERRITA;-;16;1.439;17;1.057;70;16.334;18.933;
261410 SERTANIA;4.001;2.222;6.765;817;874;26;16.706;31.411;
261420 SIRINHAEM;-;1.017;17.797;30;58;4;14.178;33.084;
261430 MOREILANDIA;-;-;3.564;9;16;-;8.272;11.861;
261440 SOLIDAO;-;5;1.487;5;-;2;4.259;5.758;
261450 SURUBIM;-;1.519;21.873;6.720;14.117;75;23.070;67.374;
261460 TABIRA;16;14;5.618;343;6.311;13;10.312;22.627;
261470 TACAIMBO;-;40;4.510;155;234;13;6.619;11.571;
261480 TACARATU;-;46;6.345;76;402;34;10.420;17.323;
261500 TAQUARITINGA DO NORTE;-;4;9.815;55;1.063;33;6.104;17.074;
261510 TEREZINHA;-;65;1.619;158;-;13;4.933;6.788;
261520 TERRA NOVA;24;60;2.174;57;105;-;4.246;6.666;
261530 TIMBAUBA;89;3.489;32.546;2.181;6.637;287;11.905;57.134;
261540 TORITAMA;-;328;3.324;895;7.841;15;2.457;14.860;
261550 TRACUNHAEM;-;8;8.760;125;59;-;2.956;11.908;
261560 TRINDADE;-;9;10.889;99;79;-;7.706;18.782;
261570 TRIUNFO;-;42;10.815;118;625;59;15.913;27.572;
261580 TUPANATINGA;-;194;3.343;86;404;50;15.060;19.137;
261590 TUPARETAMA;-;10;4.605;-;-;4;2.471;7.090;
261600 VENTUROSA;1.598;555;2.212;1.105;307;53;6.218;12.048;
261610 VERDEJANTE;-;19;1.009;4;780;9;6.299;8.120;
261620 VERTENTES;-;12;7.979;34;47;26;6.113;14.211;
261630 VICENCIA;-;279;18.528;1.978;158;19;7.041;28.003;
261640 VITORIA DE SANTO ANTAO;39.675;3.996;36.105;3.832;8.075;1.317;13.316;106.316;
270010 AGUA BRANCA;1.488;136;4.821;58;96;55;19.845;26.499;
270020 ANADIA;-;41;10.056;203;20;5;5.962;16.287;
270030 ARAPIRACA;-;4.996;137.916;1.243;777;98;18.954;163.984;
270040 ATALAIA;-;93;18.108;51;88;16;20.083;38.439;
270050 BARRA DE SANTO ANTONIO;-;1.160;5.531;77;7;4;7.493;14.272;
270060 BARRA DE SAO MIGUEL;-;40;3.447;-;-;23;1.340;4.850;
270070 BATALHA;239;392;6.222;156;-;29;5.857;12.895;
270080 BELEM;-;21;3.482;28;2;4;2.372;5.909;
270090 BELO MONTE;-;2;795;-;182;10;6.026;7.015;
270100 BOCA DA MATA;4.772;1.237;5.004;139;181;69;10.730;22.132;
270110 BRANQUINHA;-;-;1.671;85;12;1;6.529;8.298;
270120 CACIMBINHAS;-;7;5.281;4;-;5;8.416;13.713;
270130 CAJUEIRO;-;23;7.921;88;212;13;10.325;18.582;
270140 CAMPO ALEGRE;-;49;26.797;460;46;28;9.058;36.438;
270150 CAMPO GRANDE;-;9;4.990;-;-;-;5.006;10.005;
270160 CANAPI;-;8;4.546;5;1;9;14.042;18.611;
270170 CAPELA;-;3.097;4.241;256;173;16;10.930;18.713;
270180 CARNEIROS;-;-;2.392;-;-;-;3.295;5.687;
270190 CHA PRETA;-;4;3.004;86;37;-;5.018;8.149;
270200 COITE DO NOIA;-;177;7.051;10;-;-;2.542;9.780;
270210 COLONIA LEOPOLDINA;16;35;2.654;75;5.705;20;7.739;16.244;
270220 COQUEIRO SECO;-;38;2.608;22;23;13;2.069;4.773;
270230 CORURIPE;-;1.829;24.996;576;86;92;21.428;49.007;
270235 CRAIBAS;-;7;12.018;2;4;4;5.694;17.729;
270240 DELMIRO GOUVEIA;16.855;520;12.862;580;147;31;10.080;41.075;
270250 DOIS RIACHOS;-;6;3.851;-;5;-;6.077;9.939;
270260 FEIRA GRANDE;-;33;11.782;7;8;16;7.064;18.910;
270270 FELIZ DESERTO;-;5;2.588;-;8;-;832;3.433;
270280 FLEXEIRAS;-;511;3.422;67;320;27;7.670;12.017;
270290 GIRAU DO PONCIANO;-;317;14.901;205;14;8;12.332;27.777;
270300 IBATEGUARA;-;6;3.752;2.763;20;13;9.058;15.612;
270310 IGACI;-;183;8.567;1.037;513;38;15.605;25.943;
270320 IGREJA NOVA;-;19;13.683;12;50;13;6.008;19.785;
270330 INHAPI;-;7;4.038;344;63;27;10.309;14.788;
270340 JACARE DOS HOMENS;-;14;1.571;17;184;-;2.906;4.692;
270350 JACUIPE;-;245;1.498;310;297;17;5.062;7.429;
270360 JAPARATINGA;-;2;2.265;10;-;6;4.794;7.077;
270370 JARAMATAIA;-;-;1.926;-;-;-;2.444;4.370;
270380 JOAQUIM GOMES;-;7;7.007;416;108;12;16.625;24.175;
270390 JUNDIA;-;190;4.046;255;235;56;10.120;14.902;
270400 JUNQUEIRO;-;10;16.704;-;18;-;5.377;22.109;
270410 LAGOA DA CANOA;-;2.173;9.599;35;4;-;4.069;15.880;
270420 LIMOEIRO DE ANADIA;-;40;10.872;-;-;13;8.400;19.325;
270430 MACEIO;122.435;143.481;275.597;11.312;7.060;3.623;57.976;621.484;
270440 MAJOR ISIDORO;-;299;8.716;147;289;9;7.793;17.253;
270450 MARAGOGI;-;-;5.339;98;11;1;10.863;16.312;
270460 MARAVILHA;-;20;3.045;-;12;15;8.255;11.347;
270470 MARECHAL DEODORO;-;155;12.118;318;4;22;12.063;24.680;
270480 MARIBONDO;-;43;8.737;1.034;893;24;4.211;14.942;
270490 MAR VERMELHO;-;389;1.088;7;-;-;2.435;3.919;
270500 MATA GRANDE;491;59;5.576;126;18;79;20.040;26.389;
270510 MATRIZ DE CAMARAGIBE;-;21;10.970;77;499;15;9.510;21.092;
270520 MESSIAS;-;49;5.042;412;48;-;5.003;10.554;
270530 MINADOR DO NEGRAO;-;4;2.384;19;-;8;6.895;9.310;
270540 MONTEIROPOLIS;-;-;1.949;322;228;4;3.601;6.104;
270550 MURICI;-;1.132;5.122;1.175;3.496;46;17.380;28.351;
270560 NOVO LINO;-;444;3.909;70;267;-;9.804;14.494;
270570 OLHO D'AGUA DAS FLORES;-;9;9.351;215;-;15;6.045;15.635;
270580 OLHO D'AGUA DO CASADO;-;637;1.499;6;14;15;4.112;6.283;
270590 OLHO D'AGUA GRANDE;-;2;2.116;67;-;5;2.210;4.400;
270600 OLIVENCA;-;-;3.000;-;-;3;7.120;10.123;
270610 OURO BRANCO;-;125;2.953;-;-;-;6.219;9.297;
270620 PALESTINA;-;-;1.257;-;-;-;2.349;3.606;
270630 PALMEIRA DOS INDIOS;-;1.493;51.267;447;96;79;23.562;76.944;
270640 PAO DE ACUCAR;-;7;9.548;49;11;21;11.807;21.443;
270650 PASSO DE CAMARAGIBE;-;37;4.831;66;28;5;9.009;13.976;
270660 PAULO JACINTO;-;114;4.406;284;350;14;1.919;7.087;
270670 PENEDO;297;4.233;35.866;358;638;103;10.465;51.960;
270680 PIACABUCU;83;260;13.518;529;56;8;2.303;16.757;
270690 PILAR;-;30;15.419;79;2.772;-;10.881;29.181;
270700 PINDOBA;-;76;1.047;43;262;-;2.320;3.748;
270710 PIRANHAS;4.553;9;2.685;580;11;3;6.463;14.304;
270720 POCO DAS TRINCHEIRAS;-;-;1.989;27;10;-;9.409;11.435;
270730 PORTO CALVO;-;43;9.635;48;83;14;12.679;22.502;
270740 PORTO DE PEDRAS;-;130;1.358;60;5;4;8.058;9.615;
270750 PORTO REAL DO COLEGIO;63;27;10.472;8;154;-;6.765;17.489;
270760 QUEBRANGULO;-;13;4.986;67;384;3;5.817;11.270;
270770 RIO LARGO;-;1.430;28.622;2.125;6.703;158;14.615;53.653;
270780 ROTEIRO;96;58;2.151;166;-;-;4.877;7.348;
270790 SANTA LUZIA DO NORTE;-;4;3.414;-;38;-;2.284;5.740;
270800 SANTANA DO IPANEMA;-;13;19.229;47;189;20;16.450;35.948;
270810 SANTANA DO MUNDAU;-;73;2.732;634;2.263;-;6.293;11.995;
270820 SAO BRAS;-;37;3.301;-;65;11;2.895;6.309;
270830 SAO JOSE DA LAJE;1.529;29;11.863;48;720;49;7.637;21.875;
270840 SAO JOSE DA TAPERA;-;8;6.301;-;7;16;21.024;27.356;
270850 SAO LUIS DO QUITUNDE;-;50;8.683;240;16;123;22.075;31.187;
270860 SAO MIGUEL DOS CAMPOS;11.059;4.377;13.341;900;320;163;20.109;50.269;
270870 SAO MIGUEL DOS MILAGRES;-;388;1.065;13;-;-;3.419;4.885;
270880 SAO SEBASTIAO;-;278;14.978;249;79;-;8.902;24.486;
270890 SATUBA;-;15;4.710;93;1.849;111;2.291;9.069;
270895 SENADOR RUI PALMEIRA;6;3;2.903;2;-;-;6.490;9.404;
270900 TANQUE D'ARCA;-;74;3.049;3;31;3;4.541;7.701;
270910 TAQUARANA;-;6;12.292;70;5;4;4.432;16.809;
270915 TEOTONIO VILELA;-;2.383;18.385;89;36;15;8.689;29.597;
270920 TRAIPU;-;1.291;5.456;239;29;21;15.581;22.617;
270930 UNIAO DOS PALMARES;-;139;15.474;1.780;13.069;97;25.930;56.489;
270940 VICOSA;-;47;14.166;519;836;16;7.941;23.525;
280010 AMPARO DE SAO FRANCISCO;-;114;1;5;370;-;1.401;1.891;
280020 AQUIDABA;171;5.753;3.866;31;4;-;6.450;16.275;
280030 ARACAJU;150.061;146.126;69.697;5.657;3.557;4.725;20.638;400.461;
280040 ARAUA;-;2;6.965;-;7;-;3.430;10.404;
280050 AREIA BRANCA;-;4;5.131;8;6;-;5.256;10.405;
280060 BARRA DOS COQUEIROS;-;6.738;1.900;389;10;61;3.487;12.585;
280067 BOQUIM;-;191;17.919;5;-;-;4.796;22.911;
280070 BREJO GRANDE;-;12;2.426;23;-;30;4.193;6.684;
280100 CAMPO DO BRITO;-;32;5.815;928;44;8;6.573;13.400;
280110 CANHOBA;-;24;777;97;14;-;2.946;3.858;
280120 CANINDE DE SAO FRANCISCO;788;633;3.856;17;35;4;6.121;11.454;
280130 CAPELA;-;169;18.202;35;159;12;6.481;25.058;
280140 CARIRA;-;43;8.905;2;-;-;6.460;15.410;
280150 CARMOPOLIS;838;3.263;1.568;34;3;25;983;6.714;
280160 CEDRO DE SAO JOAO;-;2.622;740;131;136;5;1.483;5.117;
280170 CRISTINAPOLIS;22;99;5.353;571;76;36;4.682;10.839;
280190 CUMBE;-;-;1.617;58;22;-;1.628;3.325;
280200 DIVINA PASTORA;-;1.196;862;-;5;8;554;2.625;
280210 ESTANCIA;515;627;41.625;646;206;27;10.096;53.742;
280220 FEIRA NOVA;-;262;1.477;93;8;-;2.567;4.407;
280230 FREI PAULO;-;4;7.153;6;-;3;3.109;10.275;
280240 GARARU;-;23;1.456;222;23;16;8.447;10.187;
280250 GENERAL MAYNARD;-;7;1.538;2;-;4;560;2.111;
280260 GRACHO CARDOSO;-;-;1.608;40;-;-;3.524;5.172;
280270 ILHA DAS FLORES;-;2.165;2.047;1;19;8;2.840;7.080;
280280 INDIAROBA;-;82;3.960;28;27;9;7.460;11.566;
280290 ITABAIANA;-;894;44.607;45;7;15;19.166;64.734;
280300 ITABAIANINHA;926;5.549;11.037;381;84;36;12.838;30.851;
280310 ITABI;-;-;2.524;34;5;-;2.250;4.813;
280320 ITAPORANGA D'AJUDA;43;756;6.818;377;3;26;12.177;20.200;
280330 JAPARATUBA;-;245;8.889;2;14;31;3.673;12.854;
280340 JAPOATA;-;2.861;1.931;152;24;-;5.576;10.544;
280350 LAGARTO;-;2.390;52.594;1.075;110;38;15.764;71.971;
280360 LARANJEIRAS;1.772;5.082;5.105;34;28;144;6.771;18.936;
280370 MACAMBIRA;-;-;1.928;48;-;14;2.963;4.953;
280380 MALHADA DOS BOIS;-;305;911;248;4;8;1.055;2.531;
280390 MALHADOR;-;8;6.215;68;11;-;3.667;9.969;
280400 MARUIM;4.675;2.220;3.176;226;78;8;4.261;14.644;
280410 MOITA BONITA;2;438;3.004;14;6;11;5.757;9.232;
280420 MONTE ALEGRE DE SERGIPE;-;1.405;3.053;-;2;10;5.108;9.578;
280430 MURIBECA;-;179;3.876;-;-;1;2.617;6.673;
280440 NEOPOLIS;-;30;15.699;5;109;-;5.443;21.286;
280445 NOSSA SENHORA APARECIDA;-;32;2.343;22;125;-;6.056;8.578;
280450 NOSSA SENHORA DA GLORIA;-;98;13.968;35;3;-;9.271;23.375;
280460 NOSSA SENHORA DAS DORES;-;14;12.922;35;44;14;6.569;19.598;
280470 NOSSA SENHORA DE LOURDES;-;-;1.926;62;78;-;2.584;4.650;
280480 NOSSA SENHORA DO SOCORRO;37.745;5.267;13.996;375;107;119;9.305;66.914;
280490 PACATUBA;-;1.776;610;16;45;48;8.997;11.492;
280500 PEDRA MOLE;-;-;1.028;-;-;-;1.110;2.138;
