;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
130280 MARAA;-;226;2.114;13;4.761;-;4.697;11.811;
130290 MAUES;-;4.253;23.393;335;429;4;1.795;30.209;
130300 NHAMUNDA;-;663;8.290;637;640;906;2.012;13.148;
130310 NOVA OLINDA DO NORTE;-;813;6.887;24;304;15;4.835;12.878;
130320 NOVO AIRAO;-;83;1.962;6.936;852;13;4.043;13.889;
130330 NOVO ARIPUANA;-;285;4.258;824;557;-;5.666;11.590;
130340 PARINTINS;-;6.362;44.687;711;4.109;12;2.525;58.406;
130350 PAUINI;-;87;1.872;35;17;15;14.814;16.840;
130353 PRESIDENTE FIGUEIREDO;-;430;4.057;693;173;19;1.048;6.420;
130356 RIO PRETO DA EVA;-;510;4.433;714;26;11;314;6.008;
130360 SANTA ISABEL DO RIO NEGRO;-;162;1.657;47;49;-;13.270;15.185;
130370 SANTO ANTONIO DO ICA;-;91;14.031;250;1.042;-;1.699;17.113;
130380 SAO GABRIEL DA CACHOEIRA;-;560;4.128;193;146;44;17.677;22.748;
130390 SAO PAULO DE OLIVENCA;-;116;9.212;386;20;22;3.826;13.582;
130395 SAO SEBASTIAO DO UATUMA;-;149;3.802;85;-;9;419;4.464;
130400 SILVES;-;225;4.115;1.109;58;-;139;5.646;
130406 TABATINGA;-;2.525;22.421;173;121;15;2.102;27.357;
130410 TAPAUA;-;458;4.828;19.035;421;9;558;25.309;
130420 TEFE;-;7.230;34.089;6.684;1.411;8;4.199;53.621;
130423 TONANTINS;-;33;4.879;651;-;-;4.464;10.027;
130426 UARINI;-;75;1.683;76;13;-;3.389;5.236;
130430 URUCARA;-;1.120;6.733;2.750;22;-;608;11.233;
130440 URUCURITUBA;-;66;9.299;1.754;195;9;6.284;17.607;
140005 ALTO ALEGRE;-;464;4.103;220;5;-;3.272;8.064;
140010 BOA VISTA;7.990;40.702;61.274;3.124;387;79;15.957;129.513;
140015 BONFIM;-;649;7.483;17;5;18;1.243;9.415;
140020 CARACARAI;-;511;5.262;700;13;-;620;7.106;
140030 MUCAJAI;-;1.113;6.385;161;-;14;2.176;9.849;
140040 NORMANDIA;-;356;2.256;19;606;23;6.386;9.646;
140050 SAO JOAO DA BALIZA;-;541;2.186;801;50;35;4.558;8.171;
140060 SAO LUIZ;-;515;3.323;1.235;4;21;3.730;8.828;
150010 ABAETETUBA;-;18.723;33.927;11;29.395;15;17.732;99.803;
150020 ACARA;-;652;12.353;42;23.205;16;774;37.042;
150030 AFUA;-;57;15.868;129;764;-;3.027;19.845;
150040 ALENQUER;-;5.759;40.390;785;37;13;5.752;52.736;
150050 ALMEIRIM;12.397;1.525;9.777;1.009;1.320;20;5.342;31.390;
150060 ALTAMIRA;-;21.702;33.576;2.287;91;14;11.242;68.912;
150070 ANAJAS;-;192;4.038;12;2.007;24;7.847;14.120;
150080 ANANINDEUA;-;34.956;42.448;265;80;141;9.856;87.746;
150090 AUGUSTO CORREA;-;418;23.251;3.394;1.824;8;1.320;30.215;
