;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
120060 TARAUACA;323;2.965;6.372;5.163;693;10.959;8.922;35.397;
120070 XAPURI;2.551;1.896;2.341;2.549;1.124;2.662;2.911;16.034;
120080 PORTO ACRE;21;1.688;6.074;1.938;1.236;2.667;1.218;14.842;
130002 ALVARAES;986;3.355;6.302;1.728;479;926;267;14.043;
130006 AMATURA;148;408;2.752;1.883;231;1.438;2.507;9.367;
130008 ANAMA;361;74;4.861;1.976;1.047;1.550;305;10.174;
130010 ANORI;180;142;11.028;877;742;839;2.444;16.252;
130014 APUI;10;1.731;13.618;1.162;21;988;368;17.898;
130020 ATALAIA DO NORTE;84;43;3.684;3.332;736;2.807;4.385;15.071;
130030 AUTAZES;1.327;4.782;15.800;2.784;1.083;3.136;3.039;31.951;
130040 BARCELOS;617;2.728;6.252;466;670;1.324;11.046;23.103;
130050 BARREIRINHA;130;1.026;8.267;10.585;119;6.384;700;27.211;
130060 BENJAMIN CONSTANT;698;3.360;8.112;3.449;1.519;11.937;3.848;32.923;
130063 BERURI;477;3.655;4.133;2.132;2.476;776;1.826;15.475;
130068 BOA VISTA DO RAMOS;67;4.341;4.898;1.613;346;3.197;394;14.856;
130070 BOCA DO ACRE;1.356;476;11.654;3.257;1.108;8.784;3.735;30.370;
130080 BORBA;376;2.422;18.128;6.460;469;2.289;4.741;34.885;
130083 CAAPIRANGA;134;3.454;2.338;178;2.105;2.040;670;10.919;
130090 CANUTAMA;1.360;78;5.239;1.371;480;2.862;1.342;12.732;
130100 CARAUARI;3.972;2.167;9.456;3.100;630;2.397;3.968;25.690;
130110 CAREIRO;1.046;3.658;20.685;2.329;2.418;1.680;848;32.664;
130115 CAREIRO DA VARZEA;59;1.202;14.119;4.401;3.231;487;374;23.873;
130120 COARI;25.036;3.661;14.926;7.297;16.095;759;7.719;75.493;
130130 CODAJAS;5.301;269;3.850;3.911;1.800;1.715;6.309;23.155;
130140 EIRUNEPE;474;3.155;10.969;5.332;1.258;2.018;7.390;30.596;
