;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
221010 SAO JOSE DO PEIXE;39;98;2.073;153;11;219;1.100;3.693;
221020 SAO JOSE DO PIAUI;3;2.101;2.860;30;-;129;1.465;6.588;
221030 SAO JULIAO;53;98;3.908;764;7;89;739;5.658;
221035 SAO LOURENCO DO PIAUI;-;16;1.742;84;-;45;2.536;4.423;
221037 SAO LUIS DO PIAUI;30;11;1.255;484;53;98;625;2.556;
221038 SAO MIGUEL DA BAIXA GRANDE;11;6;1.449;9;-;-;631;2.106;
221039 SAO MIGUEL DO FIDALGO;20;3;1.810;-;-;-;1.139;2.972;
221040 SAO MIGUEL DO TAPUIO;794;2.694;5.916;497;5;261;7.952;18.119;
221050 SAO PEDRO DO PIAUI;161;1.275;9.221;267;5;672;2.010;13.611;
221060 SAO RAIMUNDO NONATO;204;1.192;23.239;1.137;20;1.025;5.355;32.172;
221062 SEBASTIAO BARROS;-;44;1.193;-;-;198;2.104;3.539;
221063 SEBASTIAO LEAL;12;259;2.492;2;-;1;1.329;4.095;
221065 SIGEFREDO PACHECO;33;2.599;3.646;143;-;42;3.138;9.601;
221070 SIMOES;3.764;654;2.480;244;9;329;6.628;14.108;
221080 SIMPLICIO MENDES;272;2.694;7.095;76;-;56;1.833;12.026;
221090 SOCORRO DO PIAUI;87;25;2.697;68;-;5;1.636;4.518;
221093 SUSSUAPARA;73;1.236;4.085;196;-;202;437;6.229;
221095 TAMBORIL DO PIAUI;12;1.453;-;-;-;21;1.262;2.748;
221097 TANQUE DO PIAUI;8;2.082;43;61;-;15;382;2.591;
221100 TERESINA;141.755;352.808;270.640;8.843;2.856;8.414;20.635;805.951;
221110 UNIAO;2.518;8.518;12.475;2.626;9;1.030;15.434;42.610;
221120 URUCUI;228;3.115;12.143;700;-;857;3.046;20.089;
221130 VALENCA DO PIAUI;342;729;17.525;109;10;183;1.397;20.295;
221135 VARZEA BRANCA;-;194;1.634;150;-;51;2.873;4.902;
221140 VARZEA GRANDE;11;2.978;21;6;-;11;1.305;4.332;
221150 VERA MENDES;15;1.041;504;335;-;349;735;2.979;
221160 VILA NOVA DO PIAUI;9;678;1.058;49;2;72;1.202;3.070;
221170 WALL FERRAZ;-;13;2.267;12;-;24;1.955;4.271;
230010 ABAIARA;213;626;8.295;41;-;100;1.190;10.465;
230015 ACARAPE;3.098;3.045;7.663;54;11;295;1.158;15.324;
230020 ACARAU;3.605;5.818;34.705;2.228;149;3.215;7.608;57.328;
230030 ACOPIARA;7.694;1.510;25.886;915;168;687;14.142;51.002;
230040 AIUABA;1.113;468;6.714;836;29;848;6.161;16.169;
230050 ALCANTARAS;1.861;372;6.380;150;105;113;1.763;10.744;
230060 ALTANEIRA;779;102;5.304;36;8;197;416;6.842;
230070 ALTO SANTO;1.686;410;11.503;629;154;464;1.442;16.288;
230075 AMONTADA;1.025;2.633;26.190;636;42;863;7.728;39.117;
230080 ANTONINA DO NORTE;2.373;229;2.916;156;4;285;1.007;6.970;
230090 APUIARES;315;12;11.808;141;197;143;1.295;13.911;
230100 AQUIRAZ;6.657;19.191;41.686;429;32;1.301;1.873;71.169;
230110 ARACATI;2.636;449;58.493;1.485;50;1.738;3.986;68.837;
230120 ARACOIABA;1.009;3.546;17.762;728;22;541;1.712;25.320;
230125 ARARENDA;5;1.626;6.767;106;1;166;1.789;10.460;
230130 ARARIPE;2.657;271;11.539;1.394;7;365;4.386;20.619;
230140 ARATUBA;1.837;246;7.770;289;25;256;1.039;11.462;
230150 ARNEIROZ;1.113;659;4.052;105;15;157;1.516;7.617;
230160 ASSARE;1.499;3.060;12.051;545;413;676;4.132;22.376;
230170 AURORA;2.840;142;17.061;495;59;572;3.339;24.508;
230180 BAIXIO;60;29;5.054;164;-;32;660;5.999;
230185 BANABUIU;2.194;840;9.333;590;18;406;3.904;17.285;
230190 BARBALHA;6.299;3.503;40.288;202;91;625;4.126;55.134;
230195 BARREIRA;2.064;455;16.166;117;-;97;630;19.529;
230200 BARRO;2.126;71;14.562;882;21;361;3.427;21.450;
230205 BARROQUINHA;1.169;1.814;7.330;370;14;1.003;2.702;14.402;
230210 BATURITE;12.494;2.361;13.956;483;2.205;331;1.368;33.198;
230220 BEBERIBE;3.647;2.025;37.443;579;7;920;4.543;49.164;
230230 BELA CRUZ;4.749;1.210;20.460;339;13;524;3.461;30.756;
230240 BOA VIAGEM;14.493;5.703;16.786;2.698;560;1.305;10.794;52.339;
230250 BREJO SANTO;23.546;3.293;14.058;934;83;977;2.088;44.979;
230260 CAMOCIM;11.573;6.487;30.105;989;81;5.292;5.352;59.879;
230270 CAMPOS SALES;3.445;2.544;15.042;697;164;720;3.794;26.406;
230280 CANINDE;12.786;4.434;42.822;1.626;1.236;1.887;9.423;74.214;
230290 CAPISTRANO;133;2.520;11.795;417;106;653;1.406;17.030;
230300 CARIDADE;131;1.879;15.292;466;48;137;2.011;19.964;
230310 CARIRE;640;507;13.621;514;1;414;2.616;18.313;
230320 CARIRIACU;476;3.736;18.163;288;34;801;2.865;26.363;
230330 CARIUS;475;1.785;12.001;101;73;283;3.813;18.531;
230340 CARNAUBAL;60;330;14.363;402;-;151;1.408;16.714;
230350 CASCAVEL;2.149;7.381;50.442;1.203;48;1.263;3.447;65.933;
230360 CATARINA;2.875;291;10.690;1.351;25;14;3.425;18.671;
230365 CATUNDA;74;89;7.202;142;-;52;2.376;9.935;
230370 CAUCAIA;124.175;57.978;124.029;3.304;1.756;5.328;7.538;324.108;
230380 CEDRO;1.445;690;18.245;934;35;258;2.869;24.476;
230390 CHAVAL;126;773;7.009;428;10;1.443;2.771;12.560;
230393 CHORO;282;1.159;7.684;471;2;430;2.760;12.788;
230395 CHOROZINHO;103;813;16.844;127;3;256;690;18.836;
230400 COREAU;3.234;461;12.656;434;93;657;4.370;21.905;
230410 CRATEUS;29.435;5.256;23.927;1.496;764;2.591;9.041;72.510;
230420 CRATO;39.564;11.207;55.912;2.493;468;3.276;7.672;120.592;
230423 CROATA;2.713;1.160;10.428;70;3;992;1.674;17.040;
230425 CRUZ;568;842;17.848;236;57;452;2.382;22.385;
230426 DEPUTADO IRAPUAN PINHEIRO;61;126;6.206;211;5;323;2.133;9.065;
230427 ERERE;476;832;4.486;207;8;124;689;6.822;
230428 EUSEBIO;6.212;8.550;29.719;334;16;387;510;45.728;
230430 FARIAS BRITO;514;1.782;13.149;268;101;111;3.059;18.984;
230435 FORQUILHA;12.762;2.866;4.373;526;73;195;941;21.736;
230440 FORTALEZA;1.420.106;372.729;540.096;28.001;39.339;18.588;8.639;2.427.498;
230445 FORTIM;65;249;13.297;67;-;284;781;14.743;
230450 FRECHEIRINHA;1.383;102;9.345;374;21;172;1.559;12.956;
230460 GENERAL SAMPAIO;205;19;5.137;46;67;149;497;6.120;
230465 GRACA;747;129;10.568;84;2;25;3.455;15.010;
230470 GRANJA;254;6.194;21.436;1.979;49;2.598;19.907;52.417;
230480 GRANJEIRO;983;185;2.904;23;-;46;478;4.619;
230490 GROAIRAS;2.067;676;6.291;484;11;67;599;10.195;
230495 GUAIUBA;3.105;1.473;17.018;203;54;590;1.613;24.056;
230500 GUARACIABA DO NORTE;1.782;1.095;29.693;410;5;1.059;3.681;37.725;
230510 GUARAMIRANGA;987;1.997;781;135;16;64;126;4.106;
230520 HIDROLANDIA;802;463;13.224;371;98;406;3.920;19.284;
230523 HORIZONTE;3.017;4.447;46.581;206;3;402;387;55.043;
230526 IBARETAMA;242;143;9.188;120;2;134;3.050;12.879;
230530 IBIAPINA;218;3.908;16.810;574;19;859;1.372;23.760;
230533 IBICUITINGA;1.663;53;8.503;17;-;326;723;11.285;
230535 ICAPUI;94;2.629;14.364;169;-;208;809;18.273;
230540 ICO;17.336;5.353;29.804;1.076;121;1.203;10.398;65.291;
230550 IGUATU;17.266;9.114;61.138;1.089;314;915;6.340;96.176;
230560 INDEPENDENCIA;6.036;1.618;9.267;906;959;637;6.061;25.484;
230565 IPAPORANGA;49;178;9.656;151;5;47;1.239;11.325;
230570 IPAUMIRIM;1.739;65;8.129;424;7;198;1.411;11.973;
230580 IPU;1.772;1.105;31.224;531;46;457;5.045;40.180;
230590 IPUEIRAS;5.082;2.651;20.516;618;67;875;7.964;37.773;
230600 IRACEMA;2.702;206;9.037;554;33;111;1.049;13.692;
230610 IRAUCUBA;7.001;642;10.801;447;19;220;3.107;22.237;
230620 ITAICABA;12;264;6.655;35;-;24;270;7.260;
230625 ITAITINGA;1.157;896;31.367;174;2;307;582;34.485;
230630 ITAPAGE;11.482;1.014;27.507;1.924;460;1.462;4.346;48.195;
230640 ITAPIPOCA;30.069;7.843;51.674;1.465;62;2.731;21.797;115.641;
230650 ITAPIUNA;754;1.971;12.697;844;32;519;1.750;18.567;
230655 ITAREMA;2.261;2.242;26.243;979;134;1.322;3.991;37.172;
230660 ITATIRA;663;268;11.016;769;243;236;5.672;18.867;
230670 JAGUARETAMA;789;265;13.041;481;13;1.138;2.065;17.792;
230680 JAGUARIBARA;5.254;703;3.637;63;2;18;542;10.219;
230690 JAGUARIBE;16.978;1.526;11.983;387;221;396;2.820;34.311;
230700 JAGUARUANA;2.362;1.987;20.395;805;99;2.470;4.022;32.140;
230710 JARDIM;7.071;2.621;6.989;1.540;22;992;7.373;26.608;
230720 JATI;1.115;200;5.010;176;3;91;1.032;7.627;
230725 JIJOCA DE JERICOACOARA;1.914;333;12.761;410;-;92;1.106;16.616;
230730 JUAZEIRO DO NORTE;84.202;32.886;123.315;1.855;134;1.918;3.929;248.239;
230740 JUCAS;5.151;1.052;11.397;482;13;391;5.262;23.748;
230750 LAVRAS DA MANGABEIRA;4.533;4.047;15.257;957;357;1.425;4.417;30.993;
230760 LIMOEIRO DO NORTE;7.459;4.224;42.423;304;32;433;1.191;56.066;
230763 MADALENA;306;1.506;12.959;373;17;487;2.341;17.989;
230765 MARACANAU;105.183;38.464;60.900;1.721;549;552;1.291;208.660;
230770 MARANGUAPE;19.567;16.368;67.298;2.061;567;1.503;5.750;113.114;
230780 MARCO;886;995;16.730;526;308;348;4.670;24.463;
230790 MARTINOPOLE;160;231;7.447;96;4;502;1.744;10.184;
230800 MASSAPE;7.741;5.449;15.319;725;77;820;4.961;35.092;
230810 MAURITI;3.982;4.009;23.942;2.293;31;1.957;7.908;44.122;
230820 MERUOCA;925;151;10.602;518;12;409;980;13.597;
230830 MILAGRES;2.775;647;19.917;608;147;479;3.659;28.232;
230835 MILHA;1.117;1.709;7.366;562;21;520;1.748;13.043;
230837 MIRAIMA;243;2.285;7.253;375;20;741;1.871;12.788;
230840 MISSAO VELHA;995;2.292;22.971;624;43;591;6.606;34.122;
230850 MOMBACA;10.412;1.107;16.311;2.799;626;1.584;9.681;42.520;
230860 MONSENHOR TABOSA;577;400;12.079;183;83;774;2.586;16.682;
230870 MORADA NOVA;3.604;2.040;46.561;968;113;1.001;7.604;61.891;
230880 MORAUJO;475;39;4.710;48;23;54;2.708;8.057;
230890 MORRINHOS;2.767;1.653;12.280;638;85;784;2.464;20.671;
230900 MUCAMBO;2.303;233;9.377;296;12;83;1.777;14.081;
230910 MULUNGU;1.735;1.553;6.316;136;183;268;1.258;11.449;
230920 NOVA OLINDA;4.998;955;6.194;315;148;115;1.500;14.225;
230930 NOVA RUSSAS;5.910;407;20.728;948;117;573;2.168;30.851;
230940 NOVO ORIENTE;3.895;3.036;13.157;401;110;632;6.163;27.394;
230945 OCARA;1.288;1.492;19.789;121;-;94;1.130;23.914;
230950 OROS;7.252;753;11.425;168;57;447;1.226;21.328;
230960 PACAJUS;432;3.774;55.687;397;12;696;718;61.716;
230970 PACATUBA;44.519;11.938;13.945;771;333;337;277;72.120;
230980 PACOTI;3.003;2.346;5.471;136;89;74;453;11.572;
230990 PACUJA;2.107;506;2.831;42;-;64;415;5.965;
231000 PALHANO;352;1.067;5.601;179;-;117;1.539;8.855;
231010 PALMACIA;1.314;364;8.357;118;52;280;1.485;11.970;
231020 PARACURU;3.747;6.098;18.909;510;-;778;1.392;31.434;
231025 PARAIPABA;6.447;1.926;19.100;248;-;257;1.914;29.892;
231030 PARAMBU;5.238;3.734;10.486;1.571;176;639;9.394;31.238;
231040 PARAMOTI;1.041;62;8.359;128;-;330;1.350;11.270;
231050 PEDRA BRANCA;9.911;4.539;15.068;975;145;1.178;10.004;41.820;
231060 PENAFORTE;4.190;320;1.790;1.185;25;227;456;8.193;
231070 PENTECOSTE;5.666;3.891;20.248;612;52;667;4.169;35.305;
231080 PEREIRO;1.771;181;11.493;329;24;456;1.476;15.730;
231085 PINDORETAMA;51;216;17.490;164;-;110;564;18.595;
231090 PIQUET CARNEIRO;102;662;12.053;615;7;182;1.795;15.416;
231095 PIRES FERREIRA;72;577;7.902;304;6;128;1.217;10.206;
231100 PORANGA;1.118;234;7.501;46;-;177;2.903;11.979;
231110 PORTEIRAS;3.116;1.161;7.037;188;239;688;2.616;15.045;
231120 POTENGI;443;357;7.506;126;-;125;1.690;10.247;
231123 POTIRETAMA;36;18;5.355;15;-;186;489;6.099;
231126 QUITERIANOPOLIS;2.246;592;9.623;1.130;153;555;5.613;19.912;
231130 QUIXADA;36.473;5.714;28.449;1.142;611;982;6.777;80.148;
231135 QUIXELO;3.334;122;7.151;477;27;108;3.750;14.969;
231140 QUIXERAMOBIM;22.996;7.848;29.391;2.603;1.015;1.371;6.286;71.510;
231150 QUIXERE;385;154;17.675;423;13;245;468;19.363;
231160 REDENCAO;1.165;3.469;19.030;933;13;117;1.597;26.324;
231170 RERIUTABA;858;206;14.389;465;138;313;3.026;19.395;
231180 RUSSAS;13.626;6.138;45.422;673;70;593;3.120;69.642;
231190 SABOEIRO;601;775;9.125;199;9;216;4.801;15.726;
231195 SALITRE;700;996;6.725;427;4;913;5.661;15.426;
231200 SANTANA DO ACARAU;8.384;1.528;11.696;2.127;479;948;4.686;29.848;
231210 SANTANA DO CARIRI;2.936;628;6.674;1.139;46;363;5.341;17.127;
231220 SANTA QUITERIA;4.004;5.632;20.384;2.053;80;1.016;9.467;42.636;
231230 SAO BENEDITO;8.615;3.044;27.313;763;103;386;3.823;44.047;
231240 SAO GONCALO DO AMARANTE;7.835;3.681;27.551;562;10;566;3.556;43.761;
231250 SAO JOAO DO JAGUARIBE;1.737;93;5.419;40;6;197;389;7.881;
231260 SAO LUIS DO CURU;411;119;9.791;262;71;303;1.341;12.298;
231270 SENADOR POMPEU;6.899;2.567;12.838;1.308;117;431;2.248;26.408;
231280 SENADOR SA;462;4;4.595;186;-;91;1.501;6.839;
231290 SOBRAL;127.747;13.007;27.910;5.321;1.574;2.769;8.125;186.453;
231300 SOLONOPOLE;1.913;216;12.340;417;17;530;2.125;17.558;
231310 TABULEIRO DO NORTE;2.931;4.105;19.617;756;47;482;1.153;29.091;
231320 TAMBORIL;2.375;578;15.276;672;55;236;6.222;25.414;
231325 TARRAFAS;147;50;5.893;224;7;154;2.414;8.889;
231330 TAUA;10.241;7.698;27.804;1.216;69;804;7.705;55.537;
231335 TEJUCUOCA;240;220;13.448;140;37;69;2.628;16.782;
231340 TIANGUA;20.814;6.165;31.955;2.534;1;1.054;6.044;68.567;
231350 TRAIRI;1.570;1.475;38.648;1.106;18;911;7.521;51.249;
231355 TURURU;190;74;11.733;106;-;263;2.030;14.396;
231360 UBAJARA;1.905;386;25.554;788;-;315;2.707;31.655;
231370 UMARI;954;59;4.550;222;4;508;1.224;7.521;
231375 UMIRIM;552;735;13.204;513;16;324;3.400;18.744;
231380 URUBURETAMA;2.111;1.583;13.460;355;50;253;1.872;19.684;
231390 URUOCA;2.573;395;6.781;143;39;63;2.860;12.854;
231395 VARJOTA;988;3.488;10.547;828;12;223;1.468;17.554;
231400 VARZEA ALEGRE;6.339;402;25.468;294;34;781;5.024;38.342;
231410 VICOSA DO CEARA;1.120;3.781;31.414;1.107;74;1.842;15.495;54.833;
240010 ACARI;8.457;482;1.865;21;4;93;61;10.983;
240020 ACU;722;6.338;42.450;692;18;1.298;1.528;53.046;
240030 AFONSO BEZERRA;4.093;1.447;4.093;148;5;476;541;10.803;
240040 AGUA NOVA;200;10;2.569;11;10;2;166;2.968;
240050 ALEXANDRIA;6.652;876;3.296;566;5;421;1.613;13.429;
240060 ALMINO AFONSO;19;602;4.097;14;-;40;85;4.857;
240070 ALTO DO RODRIGUES;811;216;10.961;32;-;82;145;12.247;
240080 ANGICOS;971;3.428;5.755;320;32;422;556;11.484;
240090 ANTONIO MARTINS;1.641;48;4.486;42;7;119;538;6.881;
240100 APODI;636;3.014;28.300;897;-;660;1.158;34.665;
240110 AREIA BRANCA;2.690;4.717;16.411;575;180;404;249;25.226;
240120 ARES;1.311;1.365;9.607;107;-;160;314;12.864;
240130 AUGUSTO SEVERO;64;1.473;5.632;189;5;210;1.695;9.268;
240140 BAIA FORMOSA;76;784;7.392;34;-;26;216;8.528;
240145 BARAUNA;144;2.223;20.865;183;-;234;443;24.092;
240150 BARCELONA;17;914;2.537;295;6;51;113;3.933;
240160 BENTO FERNANDES;19;710;4.039;170;-;21;105;5.064;
240165 BODO;37;955;1.202;26;3;48;153;2.424;
240170 BOM JESUS;23;982;8.058;131;-;40;162;9.396;
240180 BREJINHO;2.487;1.244;7.675;29;6;49;53;11.543;
240185 CAICARA DO NORTE;99;2.327;3.364;27;-;62;112;5.991;
240190 CAICARA DO RIO DO VENTO;839;1.034;1.285;4;-;118;20;3.300;
240200 CAICO;44.237;3.121;12.424;759;526;559;495;62.121;
240210 CAMPO REDONDO;3.692;772;4.665;237;23;308;565;10.262;
240220 CANGUARETAMA;688;958;25.587;1.920;391;505;727;30.776;
240230 CARAUBAS;1.250;1.224;13.865;1.619;34;129;1.384;19.505;
240240 CARNAUBA DOS DANTAS;1.148;54;6.039;93;-;25;35;7.394;
240250 CARNAUBAIS;2.674;1.736;4.243;236;-;543;312;9.744;
240260 CEARA-MIRIM;17.564;19.351;27.731;1.130;11;659;1.278;67.724;
240270 CERRO CORA;417;112;8.931;375;124;79;870;10.908;
240280 CORONEL EZEQUIEL;158;926;2.889;556;43;288;539;5.399;
240290 CORONEL JOAO PESSOA;2;11;3.835;82;2;20;805;4.757;
240300 CRUZETA;4.562;624;2.370;163;-;137;73;7.929;
240310 CURRAIS NOVOS;33.104;1.733;5.181;1.053;83;667;568;42.389;
240320 DOUTOR SEVERIANO;1.566;42;4.130;4;-;51;674;6.467;
240325 PARNAMIRIM;8.347;105.007;85.888;730;3;611;237;200.823;
240330 ENCANTO;526;323;4.121;25;2;29;198;5.224;
240340 EQUADOR;2.644;206;2.511;129;38;145;141;5.814;
240350 ESPIRITO SANTO;1.450;558;7.707;168;112;227;213;10.435;
240360 EXTREMOZ;478;8.751;14.504;283;-;186;289;24.491;
240370 FELIPE GUERRA;15;254;4.709;80;-;89;554;5.701;
240375 FERNANDO PEDROZA;14;190;2.465;16;-;122;35;2.842;
240380 FLORANIA;5.846;629;1.937;263;-;97;180;8.952;
240390 FRANCISCO DANTAS;32;-;2.617;51;-;21;146;2.867;
240400 FRUTUOSO GOMES;64;6;4.017;-;-;71;44;4.202;
240410 GALINHOS;-;18;1.936;3;-;4;126;2.087;
240420 GOIANINHA;4.178;5.282;11.850;422;104;166;430;22.432;
240430 GOVERNADOR DIX-SEPT ROSADO;58;3.939;6.853;246;-;463;791;12.350;
240440 GROSSOS;20;1.683;7.274;66;-;113;175;9.331;
240450 GUAMARE;3.807;819;6.770;750;-;73;172;12.391;
240460 IELMO MARINHO;477;1.769;9.024;29;-;287;573;12.159;
240470 IPANGUACU;85;2.481;10.017;224;6;489;498;13.800;
240480 IPUEIRA;33;9;2.012;8;-;3;4;2.069;
240485 ITAJA;122;990;4.418;305;3;100;974;6.912;
240490 ITAU;29;160;5.150;48;-;96;69;5.552;
240500 JACANA;28;26;7.431;20;-;77;333;7.915;
240510 JANDAIRA;41;907;5.410;133;-;16;250;6.757;
240520 JANDUIS;613;1.629;2.685;105;-;37;251;5.320;
240530 JANUARIO CICCO;864;131;7.496;97;6;25;338;8.957;
240540 JAPI;2.796;33;1.568;250;167;66;628;5.508;
240550 JARDIM DE ANGICOS;54;176;2.279;25;-;29;33;2.596;
240560 JARDIM DE PIRANHAS;661;2.199;9.392;309;38;193;690;13.482;
240570 JARDIM DO SERIDO;6.307;2.507;2.746;74;117;99;204;12.054;
240580 JOAO CAMARA;3.798;1.809;24.103;1.120;-;464;845;32.139;
240590 JOAO DIAS;611;368;1.459;28;22;84;29;2.601;
240600 JOSE DA PENHA;607;689;4.226;71;6;7;256;5.862;
240610 JUCURUTU;3.687;1.871;9.452;676;9;1.250;671;17.616;
240615 JUNDIA;15;263;2.986;2;-;101;146;3.513;
240620 LAGOA D'ANTA;39;364;5.420;66;11;166;136;6.202;
240630 LAGOA DE PEDRAS;26;627;5.905;63;-;148;211;6.980;
240640 LAGOA DE VELHOS;22;443;2.133;11;-;24;6;2.639;
240650 LAGOA NOVA;4.627;1.637;7.038;152;23;193;304;13.974;
240660 LAGOA SALGADA;33;129;7.139;63;-;67;115;7.546;
240670 LAJES;5.584;559;3.589;79;9;157;280;10.257;
240680 LAJES PINTADAS;1.529;1;2.559;67;-;228;226;4.610;
240690 LUCRECIA;2.218;407;940;24;-;10;30;3.629;
240700 LUIS GOMES;308;55;7.707;167;-;606;755;9.598;
240710 MACAIBA;4.402;8.911;52.634;1.200;317;823;905;69.192;
240720 MACAU;19.035;1.159;7.591;151;253;250;400;28.839;
240725 MAJOR SALES;81;685;2.730;16;-;7;15;3.534;
240730 MARCELINO VIEIRA;1.328;1.160;4.187;510;180;262;623;8.250;
240740 MARTINS;4;18;7.966;21;-;11;157;8.177;
240750 MAXARANGUAPE;276;255;9.368;29;-;62;339;10.329;
240760 MESSIAS TARGINO;-;750;3.178;4;-;19;218;4.169;
240770 MONTANHAS;84;472;10.057;251;12;368;135;11.379;
240780 MONTE ALEGRE;1.354;3.448;15.052;463;7;285;49;20.658;
240790 MONTE DAS GAMELEIRAS;528;13;1.553;29;11;101;24;2.259;
240800 MOSSORO;101.385;65.490;85.575;1.070;468;2.827;1.656;258.471;
240810 NATAL;244.802;246.960;291.116;4.465;5.382;3.131;1.628;797.484;
240820 NISIA FLORESTA;224;4.888;17.517;188;7;134;210;23.168;
240830 NOVA CRUZ;3.814;996;25.629;1.974;333;1.524;1.073;35.343;
240840 OLHO-D'AGUA DO BORGES;63;40;3.753;5;-;46;371;4.278;
240850 OURO BRANCO;734;29;3.818;49;-;51;14;4.695;
240860 PARANA;21;22;3.120;508;10;2;264;3.947;
240870 PARAU;484;220;2.458;351;3;19;291;3.826;
240880 PARAZINHO;2.153;19;2.506;23;-;27;111;4.839;
240890 PARELHAS;14.115;74;5.655;88;38;148;138;20.256;
240895 RIO DO FOGO;46;34;9.352;95;8;124;321;9.980;
240910 PASSA E FICA;6.351;76;4.408;73;-;41;118;11.067;
240920 PASSAGEM;142;14;2.680;14;-;16;23;2.889;
240930 PATU;525;1.982;7.652;847;-;229;700;11.935;
240933 SANTA MARIA;42;16;4.571;16;-;75;28;4.748;
240940 PAU DOS FERROS;11.140;4.708;10.172;566;225;166;581;27.558;
240950 PEDRA GRANDE;22;95;3.256;5;-;35;55;3.468;
240960 PEDRA PRETA;8;102;2.081;47;-;239;86;2.563;
240970 PEDRO AVELINO;2.645;710;3.173;271;-;122;233;7.154;
240980 PEDRO VELHO;4.981;86;7.407;269;11;927;395;14.076;
240990 PENDENCIAS;4.436;3.839;4.775;33;-;126;192;13.401;
241000 PILOES;162;655;1.908;483;-;56;187;3.451;
241010 POCO BRANCO;128;1.132;12.196;31;-;123;296;13.906;
241020 PORTALEGRE;5;72;6.755;80;-;18;357;7.287;
241025 PORTO DO MANGUE;2;9;4.927;29;15;69;132;5.183;
241030 SERRA CAIADA;1.164;1.224;5.887;134;-;135;207;8.751;
241040 PUREZA;57;56;7.465;454;-;198;152;8.382;
241050 RAFAEL FERNANDES;475;439;3.280;50;6;201;238;4.689;
241060 RAFAEL GODEIRO;25;100;2.841;9;-;8;72;3.055;
241070 RIACHO DA CRUZ;1.282;531;1.220;13;-;3;84;3.133;
241080 RIACHO DE SANTANA;163;454;3.045;66;-;70;353;4.151;
241090 RIACHUELO;3.913;268;2.700;116;-;37;16;7.050;
241100 RODOLFO FERNANDES;346;637;3.204;-;-;20;202;4.409;
241105 TIBAU;35;1.101;2.364;5;-;31;98;3.634;
241110 RUY BARBOSA;9;22;3.240;20;7;56;240;3.594;
241120 SANTA CRUZ;28.073;906;3.994;1.048;73;359;1.260;35.713;
241140 SANTANA DO MATOS;5.601;2.370;3.175;1.261;8;391;977;13.783;
241142 SANTANA DO SERIDO;1.560;30;910;8;-;3;8;2.519;
241150 SANTO ANTONIO;4.272;186;16.416;235;66;285;640;22.100;
241160 SAO BENTO DO NORTE;33;1.966;826;55;-;59;28;2.967;
241170 SAO BENTO DO TRAIRI;2.086;602;342;122;7;293;449;3.901;
241180 SAO FERNANDO;29;1.203;1.978;171;-;7;13;3.401;
241190 SAO FRANCISCO DO OESTE;8;13;3.645;-;11;41;132;3.850;
241200 SAO GONCALO DO AMARANTE;35.695;21.245;28.990;774;113;378;340;87.535;
241210 SAO JOAO DO SABUGI;244;10;5.261;223;20;10;145;5.913;
241220 SAO JOSE DE MIPIBU;708;6.934;30.738;524;-;288;435;39.627;
241230 SAO JOSE DO CAMPESTRE;3.092;2.064;6.379;39;-;211;562;12.347;
241240 SAO JOSE DO SERIDO;2.674;21;1.490;3;-;19;7;4.214;
241250 SAO MIGUEL;77;778;19.799;274;5;297;875;22.105;
241255 SAO MIGUEL DO GOSTOSO;21;224;7.888;367;-;26;84;8.610;
241260 SAO PAULO DO POTENGI;8.676;416;6.018;161;160;180;147;15.758;
241270 SAO PEDRO;103;78;5.714;156;3;47;116;6.217;
241280 SAO RAFAEL;4.179;678;2.026;90;-;261;837;8.071;
241290 SAO TOME;2.623;114;6.637;252;6;566;577;10.775;
241300 SAO VICENTE;2.769;665;2.152;147;53;215;16;6.017;
241310 SENADOR ELOI DE SOUZA;30;939;4.223;216;12;99;94;5.613;
241320 SENADOR GEORGINO AVELINO;43;19;3.735;40;-;27;45;3.909;
241330 SERRA DE SAO BENTO;138;550;4.444;241;-;39;329;5.741;
241335 SERRA DO MEL;41;104;9.530;44;-;255;215;10.189;
241340 SERRA NEGRA DO NORTE;4.331;1.350;1.590;254;-;94;131;7.750;
241350 SERRINHA;87;162;5.730;89;9;87;388;6.552;
241355 SERRINHA DOS PINTOS;8;26;4.287;9;-;34;175;4.539;
241360 SEVERIANO MELO;182;399;4.611;70;4;24;445;5.735;
241370 SITIO NOVO;16;653;3.997;73;-;28;252;5.019;
241380 TABOLEIRO GRANDE;12;15;2.173;9;-;22;86;2.317;
241390 TAIPU;120;640;10.380;42;6;305;305;11.798;
241400 TANGARA;7.888;2.720;2.440;478;5;178;369;14.078;
241410 TENENTE ANANIAS;2.545;298;3.441;414;782;1.138;1.263;9.881;
241415 TENENTE LAURENTINO CRUZ;159;174;4.934;46;-;23;65;5.401;
241420 TIBAU DO SUL;1.229;1.003;8.711;78;-;83;216;11.320;
