;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 1991;;;
Município;% população com renda < 1/2 SM;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres. Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
TOTAL;66,53;;
110001 ALTA FLORESTA D'OESTE;90,7;;
110002 ARIQUEMES;77,79;;
110003 CABIXI;92,91;;
110004 CACOAL;79,99;;
110005 CEREJEIRAS;83,57;;
110006 COLORADO DO OESTE;86,09;;
110008 COSTA MARQUES;82,38;;
110009 ESPIGAO D'OESTE;81,33;;
110010 GUAJARA-MIRIM;69,27;;
110011 JARU;83,32;;
110012 JI-PARANA;74,5;;
110013 MACHADINHO D'OESTE;81,38;;
110014 NOVA BRASILANDIA D'OESTE;95,57;;
110015 OURO PRETO DO OESTE;85,55;;
110018 PIMENTA BUENO;80,2;;
110020 PORTO VELHO;62,83;;
110025 PRESIDENTE MEDICI;86,63;;
110028 ROLIM DE MOURA;84,14;;
110029 SANTA LUZIA D'OESTE;93,43;;
110030 VILHENA;65,67;;
110032 SAO MIGUEL DO GUAPORE;92,38;;
110033 NOVA MAMORE;83,34;;
110034 ALVORADA D'OESTE;91,23;;
120005 ASSIS BRASIL;83,65;;
120010 BRASILEIA;85,75;;
120020 CRUZEIRO DO SUL;90,67;;
120030 FEIJO;91,2;;
120033 MANCIO LIMA;95,37;;
120034 MANOEL URBANO;96,34;;
120038 PLACIDO DE CASTRO;89,82;;
120040 RIO BRANCO;67,93;;
120045 SENADOR GUIOMARD;85,91;;
120050 SENA MADUREIRA;89,08;;
120060 TARAUACA;93,04;;
120070 XAPURI;89,19;;
130002 ALVARAES;85,84;;
130006 AMATURA;91,66;;
130008 ANAMA;90,91;;
130010 ANORI;89,57;;
130014 APUI;78,91;;
130020 ATALAIA DO NORTE;87,03;;
130030 AUTAZES;89,32;;
130040 BARCELOS;87,87;;
