;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 1991;;;
Município;% população com renda < 1/2 SM;;
130050 BARREIRINHA;91,38;;
130060 BENJAMIN CONSTANT;88,29;;
130063 BERURI;94,75;;
130068 BOA VISTA DO RAMOS;91,89;;
130070 BOCA DO ACRE;91,02;;
130080 BORBA;88,85;;
130083 CAAPIRANGA;93,43;;
130090 CANUTAMA;96,15;;
130100 CARAUARI;91,56;;
130110 CAREIRO;81,37;;
130115 CAREIRO DA VARZEA;88,45;;
130120 COARI;91,17;;
130130 CODAJAS;83,9;;
130140 EIRUNEPE;94,72;;
130150 ENVIRA;94,13;;
130160 FONTE BOA;92,55;;
130165 GUAJARA;93,55;;
130170 HUMAITA;88,1;;
130180 IPIXUNA;96,18;;
130185 IRANDUBA;83,52;;
130190 ITACOATIARA;84,04;;
130195 ITAMARATI;89,66;;
130200 ITAPIRANGA;89,12;;
130210 JAPURA;93,06;;
130220 JURUA;94,5;;
130230 JUTAI;88,22;;
130240 LABREA;91,91;;
130250 MANACAPURU;86,89;;
130255 MANAQUIRI;85,81;;
130260 MANAUS;55,63;;
130270 MANICORE;89,68;;
130280 MARAA;95,02;;
130290 MAUES;88,66;;
130300 NHAMUNDA;93,2;;
130310 NOVA OLINDA DO NORTE;90,58;;
130320 NOVO AIRAO;90,97;;
130330 NOVO ARIPUANA;86,94;;
130340 PARINTINS;87,85;;
130350 PAUINI;90,64;;
130353 PRESIDENTE FIGUEIREDO;65,46;;
130356 RIO PRETO DA EVA;84,62;;
130360 SANTA ISABEL DO RIO NEGRO;98,41;;
130370 SANTO ANTONIO DO ICA;92,71;;
130380 SAO GABRIEL DA CACHOEIRA;85,81;;
130390 SAO PAULO DE OLIVENCA;96,22;;
130395 SAO SEBASTIAO DO UATUMA;86,36;;
130400 SILVES;87,35;;
130406 TABATINGA;87,08;;
130410 TAPAUA;98,08;;
130420 TEFE;87,58;;
130423 TONANTINS;96,41;;
130426 UARINI;80,4;;
130430 URUCARA;90,67;;
130440 URUCURITUBA;98,3;;
140005 ALTO ALEGRE;84,14;;
140010 BOA VISTA;54,28;;
140015 BONFIM;78,95;;
140020 CARACARAI;75,86;;
140030 MUCAJAI;79,75;;
140040 NORMANDIA;92,46;;
140050 SAO JOAO DA BALIZA;83,1;;
140060 SAO LUIZ;84,21;;
150010 ABAETETUBA;89,81;;
150020 ACARA;87,79;;
150030 AFUA;93,54;;
150040 ALENQUER;92,68;;
150050 ALMEIRIM;78,66;;
150060 ALTAMIRA;78,75;;
150070 ANAJAS;93,4;;
150080 ANANINDEUA;76,91;;
150090 AUGUSTO CORREA;97,52;;
150100 AVEIRO;95,58;;
150110 BAGRE;95,7;;
150120 BAIAO;96,74;;
150130 BARCARENA;76,47;;
150140 BELEM;61,73;;
150150 BENEVIDES;90,76;;
150157 BOM JESUS DO TOCANTINS;84,63;;
150160 BONITO;93,39;;
150170 BRAGANCA;93,23;;
150175 BREJO GRANDE DO ARAGUAIA;96,4;;
150180 BREVES;93,82;;
150190 BUJARU;93,19;;
150200 CACHOEIRA DO ARARI;93,2;;
150210 CAMETA;95,49;;
150220 CAPANEMA;84,42;;
150230 CAPITAO POCO;94,33;;
150240 CASTANHAL;80,97;;
150250 CHAVES;96,46;;
150260 COLARES;94,06;;
150270 CONCEICAO DO ARAGUAIA;86,49;;
150275 CONCORDIA DO PARA;89,91;;
150277 CURIONOPOLIS;83,99;;
150280 CURRALINHO;91,93;;
150290 CURUCA;95,11;;
150293 DOM ELISEU;87,23;;
150300 FARO;94,4;;
150307 GARRAFAO DO NORTE;96,64;;
150310 GURUPA;95,55;;
150320 IGARAPE-ACU;91,61;;
150330 IGARAPE-MIRI;94,03;;
150340 INHANGAPI;91,04;;
150350 IRITUIA;93,94;;
150360 ITAITUBA;79,11;;
150370 ITUPIRANGA;94,07;;
150380 JACUNDA;87,63;;
150390 JURUTI;93,03;;
150400 LIMOEIRO DO AJURU;94,77;;
150405 MAE DO RIO;92,57;;
150410 MAGALHAES BARATA;97,63;;
150420 MARABA;81,43;;
150430 MARACANA;94,41;;
150440 MARAPANIM;91,14;;
150445 MEDICILANDIA;90,3;;
150450 MELGACO;97,53;;
150460 MOCAJUBA;92,78;;
150470 MOJU;92,86;;
150480 MONTE ALEGRE;92,33;;
150490 MUANA;94,8;;
150500 NOVA TIMBOTEUA;92,66;;
150510 OBIDOS;91,24;;
150520 OEIRAS DO PARA;93,49;;
150530 ORIXIMINA;85,56;;
150540 OUREM;95,21;;
150543 OURILANDIA DO NORTE;80,14;;
150548 PACAJA;95,42;;
150550 PARAGOMINAS;82,55;;
150553 PARAUAPEBAS;75,25;;
150560 PEIXE-BOI;92,34;;
150570 PONTA DE PEDRAS;93,64;;
150580 PORTEL;93,87;;
150590 PORTO DE MOZ;92,38;;
150600 PRAINHA;95,02;;
150610 PRIMAVERA;96,67;;
150613 REDENCAO;80,64;;
150616 RIO MARIA;84,99;;
150618 RONDON DO PARA;81,83;;
150619 RUROPOLIS;94,46;;
150620 SALINOPOLIS;90,88;;
150630 SALVATERRA;89,56;;
150640 SANTA CRUZ DO ARARI;92,8;;
150650 SANTA IZABEL DO PARA;84,94;;
150658 SANTA MARIA DAS BARREIRAS;79,98;;
150660 SANTA MARIA DO PARA;85,94;;
150670 SANTANA DO ARAGUAIA;90,3;;
150680 SANTAREM;87,01;;
150690 SANTAREM NOVO;91,42;;
150700 SANTO ANTONIO DO TAUA;89,03;;
150710 SAO CAETANO DE ODIVELAS;93,34;;
150720 SAO DOMINGOS DO CAPIM;91,36;;
150730 SAO FELIX DO XINGU;83,06;;
150740 SAO FRANCISCO DO PARA;86,77;;
150745 SAO GERALDO DO ARAGUAIA;94,79;;
150747 SAO JOAO DE PIRABAS;95,41;;
150750 SAO JOAO DO ARAGUAIA;90,79;;
150760 SAO MIGUEL DO GUAMA;89,08;;
150770 SAO SEBASTIAO DA BOA VISTA;92,28;;
150780 SENADOR JOSE PORFIRIO;88,92;;
150790 SOURE;88,13;;
150795 TAILANDIA;81,6;;
150800 TOME-ACU;88,39;;
150808 TUCUMA;78,83;;
150810 TUCURUI;85,08;;
150815 URUARA;85,17;;
150820 VIGIA;90,35;;
150830 VISEU;95,32;;
150840 XINGUARA;80,44;;
160010 AMAPA;86,64;;
160020 CALCOENE;82,32;;
160023 FERREIRA GOMES;90,87;;
160027 LARANJAL DO JARI;77,77;;
160030 MACAPA;63,1;;
160040 MAZAGAO;87,2;;
160050 OIAPOQUE;70,98;;
160060 SANTANA;79,83;;
160070 TARTARUGALZINHO;91,7;;
170035 ALIANCA DO TOCANTINS;89,55;;
170040 ALMAS;93,29;;
170070 ALVORADA;77,12;;
170100 ANANAS;93,23;;
170110 APARECIDA DO RIO NEGRO;87,52;;
170190 ARAGUACEMA;90,75;;
170200 ARAGUACU;85,13;;
170210 ARAGUAINA;76,58;;
170220 ARAGUATINS;95,13;;
170230 ARAPOEMA;83,98;;
170240 ARRAIAS;84;;
170255 AUGUSTINOPOLIS;90,67;;
170270 AURORA DO TOCANTINS;92,1;;
170290 AXIXA DO TOCANTINS;97,38;;
170300 BABACULANDIA;95,33;;
170310 BARROLANDIA;89,44;;
170320 BERNARDO SAYAO;90,89;;
170370 BREJINHO DE NAZARE;93,68;;
170380 BURITI DO TOCANTINS;95,92;;
170390 CASEARA;88,25;;
170550 COLINAS DO TOCANTINS;77,82;;
170555 COMBINADO;88,33;;
170560 CONCEICAO DO TOCANTINS;96,08;;
170600 COUTO MAGALHAES;91,58;;
170610 CRISTALANDIA;82,65;;
170700 DIANOPOLIS;81,99;;
170710 DIVINOPOLIS DO TOCANTINS;87,85;;
170720 DOIS IRMAOS DO TOCANTINS;96,36;;
170730 DUERE;89,18;;
170755 FATIMA;90,47;;
170765 FIGUEIROPOLIS;89,38;;
170770 FILADELFIA;93,92;;
170820 FORMOSO DO ARAGUAIA;89,72;;
170830 GOIANORTE;90,01;;
170900 GOIATINS;95,25;;
170930 GUARAI;77,45;;
170950 GURUPI;66,74;;
171050 ITACAJA;94,59;;
171070 ITAGUATINS;96,39;;
171110 ITAPORA DO TOCANTINS;91,1;;
171240 LIZARDA;90,19;;
171250 MARIANOPOLIS DO TOCANTINS;83,4;;
171320 MIRACEMA DO TOCANTINS;71,46;;
171330 MIRANORTE;80,23;;
171360 MONTE DO CARMO;90,7;;
171420 NATIVIDADE;90,01;;
171430 NAZARE;97,01;;
171488 NOVA OLINDA;86,59;;
171500 NOVA ROSALANDIA;90,26;;
171510 NOVO ACORDO;96,48;;
171575 PALMEIROPOLIS;80,54;;
171610 PARAISO DO TOCANTINS;60,37;;
171620 PARANA;90,95;;
171650 PEDRO AFONSO;84,91;;
171660 PEIXE;88,59;;
171665 PEQUIZEIRO;91,04;;
171670 COLMEIA;83,15;;
171700 PINDORAMA DO TOCANTINS;91,18;;
171750 PIUM;91,02;;
171780 PONTE ALTA DO BOM JESUS;94,72;;
171790 PONTE ALTA DO TOCANTINS;95,29;;
171800 PORTO ALEGRE DO TOCANTINS;91,1;;
171820 PORTO NACIONAL;77,8;;
171830 PRAIA NORTE;92,46;;
171840 PRESIDENTE KENNEDY;87,43;;
171875 RIO SONO;93,94;;
171880 SAMPAIO;99,45;;
171890 SANTA ROSA DO TOCANTINS;89,03;;
171900 SANTA TEREZA DO TOCANTINS;92,48;;
172030 SAO SEBASTIAO DO TOCANTINS;95,75;;
172049 SAO VALERIO;89,68;;
172065 SILVANOPOLIS;92,45;;
172080 SITIO NOVO DO TOCANTINS;96,1;;
172090 TAGUATINGA;89,09;;
172100 PALMAS;69,86;;
172110 TOCANTINIA;83,23;;
172120 TOCANTINOPOLIS;92,54;;
172208 WANDERLANDIA;90,48;;
172210 XAMBIOA;86,71;;
210005 ACAILANDIA;85,13;;
210010 AFONSO CUNHA;98,44;;
210020 ALCANTARA;95,43;;
210030 ALDEIAS ALTAS;97,01;;
210040 ALTAMIRA DO MARANHAO;97,66;;
210050 ALTO PARNAIBA;92,9;;
210060 AMARANTE DO MARANHAO;93,99;;
210070 ANAJATUBA;96,4;;
210080 ANAPURUS;97,37;;
210090 ARAIOSES;97,93;;
210095 ARAME;95,56;;
210100 ARARI;96,02;;
210110 AXIXA;95,85;;
210120 BACABAL;92,57;;
210130 BACURI;97,35;;
210140 BALSAS;92,25;;
210150 BARAO DE GRAJAU;95,72;;
210160 BARRA DO CORDA;95,66;;
210170 BARREIRINHAS;97,04;;
210180 BENEDITO LEITE;97,58;;
210190 BEQUIMAO;98,14;;
210200 BOM JARDIM;96,51;;
210210 BREJO;96,27;;
210220 BURITI;97,43;;
210230 BURITI BRAVO;92,43;;
210240 CAJAPIO;98,71;;
210250 CAJARI;98,79;;
210260 CANDIDO MENDES;98,14;;
210270 CANTANHEDE;97,34;;
210280 CAROLINA;93,04;;
210290 CARUTAPERA;97,02;;
210300 CAXIAS;93,79;;
210310 CEDRAL;95,73;;
210320 CHAPADINHA;95,5;;
210330 CODO;95,95;;
210340 COELHO NETO;91,84;;
210350 COLINAS;96,45;;
210360 COROATA;97,14;;
210370 CURURUPU;96,99;;
210380 DOM PEDRO;92,86;;
210390 DUQUE BACELAR;96,58;;
210400 ESPERANTINOPOLIS;96,06;;
210405 ESTREITO;92,06;;
210410 FORTALEZA DOS NOGUEIRAS;97,04;;
210420 FORTUNA;97,02;;
210430 GODOFREDO VIANA;94,95;;
210440 GONCALVES DIAS;89,41;;
210450 GOVERNADOR ARCHER;96,88;;
210460 GOVERNADOR EUGENIO BARROS;97,38;;
210470 GRACA ARANHA;98,93;;
210480 GRAJAU;94,4;;
210490 GUIMARAES;94,17;;
210500 HUMBERTO DE CAMPOS;97,28;;
210510 ICATU;99,42;;
210520 IGARAPE GRANDE;97,27;;
210530 IMPERATRIZ;85,13;;
210540 ITAPECURU MIRIM;94,94;;
210550 JOAO LISBOA;96,3;;
210560 JOSELANDIA;96,15;;
210570 LAGO DA PEDRA;96,28;;
210580 LAGO DO JUNCO;94,92;;
210590 LAGO VERDE;98,64;;
210600 LIMA CAMPOS;92,22;;
210610 LORETO;98,05;;
210620 LUIS DOMINGUES;93,06;;
210630 MAGALHAES DE ALMEIDA;97,53;;
210640 MATA ROMA;99,04;;
210650 MATINHA;98,4;;
210660 MATOES;97;;
210670 MIRADOR;96,04;;
210675 MIRANDA DO NORTE;92,37;;
210680 MIRINZAL;96,61;;
210690 MONCAO;97,1;;
210700 MONTES ALTOS;97,03;;
210710 MORROS;98,79;;
210720 NINA RODRIGUES;98,68;;
210730 NOVA IORQUE;97,69;;
210740 OLHO D'AGUA DAS CUNHAS;95,02;;
210750 PACO DO LUMIAR;83,49;;
210760 PALMEIRANDIA;98,16;;
210770 PARAIBANO;92,89;;
210780 PARNARAMA;97,68;;
210790 PASSAGEM FRANCA;96,7;;
210800 PASTOS BONS;98,45;;
210810 PAULO RAMOS;95,23;;
210820 PEDREIRAS;92,21;;
210830 PENALVA;97,93;;
210840 PERI MIRIM;98,27;;
210850 PINDARE-MIRIM;96,39;;
210860 PINHEIRO;96,34;;
210870 PIO XII;96,83;;
210880 PIRAPEMAS;98,99;;
210890 POCAO DE PEDRAS;97,26;;
210900 PORTO FRANCO;94,1;;
210910 PRESIDENTE DUTRA;92,92;;
210920 PRESIDENTE JUSCELINO;98,83;;
210930 PRESIDENTE VARGAS;98,52;;
210940 PRIMEIRA CRUZ;96,98;;
210950 RIACHAO;97,61;;
210960 ROSARIO;96,77;;
210970 SAMBAIBA;91,3;;
210980 SANTA HELENA;96,75;;
210990 SANTA INES;89,09;;
211000 SANTA LUZIA;96,52;;
211003 SANTA LUZIA DO PARUA;97,53;;
211010 SANTA QUITERIA DO MARANHAO;96,72;;
211020 SANTA RITA;97,85;;
211030 SANTO ANTONIO DOS LOPES;96,22;;
211040 SAO BENEDITO DO RIO PRETO;99,67;;
211050 SAO BENTO;96,44;;
211060 SAO BERNARDO;96,91;;
211070 SAO DOMINGOS DO MARANHAO;96,47;;
211080 SAO FELIX DE BALSAS;97,37;;
211090 SAO FRANCISCO DO MARANHAO;97,15;;
211100 SAO JOAO BATISTA;98,17;;
211110 SAO JOAO DOS PATOS;94,63;;
211120 SAO JOSE DE RIBAMAR;91,49;;
211130 SAO LUIS;72,55;;
211140 SAO LUIS GONZAGA DO MARANHAO;94,87;;
211150 SAO MATEUS DO MARANHAO;97,03;;
211160 SAO RAIMUNDO DAS MANGABEIRAS;97,3;;
211170 SAO VICENTE FERRER;98,04;;
211180 SITIO NOVO;95,55;;
211190 SUCUPIRA DO NORTE;98,12;;
211200 TASSO FRAGOSO;98,6;;
211210 TIMBIRAS;98,21;;
211220 TIMON;90,8;;
211230 TUNTUM;95,63;;
211240 TURIACU;96,34;;
211250 TUTOIA;96,44;;
211260 URBANO SANTOS;97,67;;
211270 VARGEM GRANDE;98,18;;
211280 VIANA;96,55;;
211290 VITORIA DO MEARIM;97,56;;
211300 VITORINO FREIRE;93,89;;
211400 ZE DOCA;96,22;;
220010 AGRICOLANDIA;98,84;;
220020 AGUA BRANCA;95,35;;
220025 ALAGOINHA DO PIAUI;94,12;;
220030 ALTO LONGA;95,81;;
220040 ALTOS;94,68;;
220050 AMARANTE;94,66;;
220060 ANGICAL DO PIAUI;96,84;;
220070 ANISIO DE ABREU;97,36;;
220080 ANTONIO ALMEIDA;98,9;;
220090 AROAZES;97,83;;
220100 ARRAIAL;96,71;;
220110 AVELINO LOPES;96,1;;
220120 BARRAS;97,1;;
220130 BARREIRAS DO PIAUI;93,62;;
220140 BARRO DURO;91,17;;
220150 BATALHA;97,75;;
220160 BENEDITINOS;97,03;;
220170 BERTOLINIA;96,86;;
220180 BOCAINA;93,9;;
220190 BOM JESUS;94,7;;
220200 BURITI DOS LOPES;97,31;;
220210 CAMPINAS DO PIAUI;96,48;;
220220 CAMPO MAIOR;91,75;;
220230 CANTO DO BURITI;94,12;;
220240 CAPITAO DE CAMPOS;96,11;;
220250 CARACOL;96,56;;
220260 CASTELO DO PIAUI;94,6;;
220270 COCAL;96,8;;
220280 CONCEICAO DO CANINDE;97,37;;
220290 CORRENTE;93,09;;
220300 CRISTALANDIA DO PIAUI;97,93;;
220310 CRISTINO CASTRO;94,56;;
220320 CURIMATA;95,55;;
220330 DEMERVAL LOBAO;94,01;;
220335 DIRCEU ARCOVERDE;97,81;;
220340 DOM EXPEDITO LOPES;90;;
220342 DOMINGOS MOURAO;100;;
220345 DOM INOCENCIO;98,81;;
220350 ELESBAO VELOSO;95,14;;
220360 ELISEU MARTINS;95,48;;
220370 ESPERANTINA;93,77;;
220380 FLORES DO PIAUI;96,14;;
220390 FLORIANO;81,41;;
220400 FRANCINOPOLIS;97,27;;
220410 FRANCISCO AYRES;95,72;;
220420 FRANCISCO SANTOS;89,32;;
220430 FRONTEIRAS;95,72;;
220440 GILBUES;94,52;;
220450 GUADALUPE;89,22;;
220460 HUGO NAPOLEAO;97,27;;
220470 INHUMA;94,56;;
220480 IPIRANGA DO PIAUI;95,14;;
220490 ISAIAS COELHO;98,21;;
220500 ITAINOPOLIS;99,58;;
220510 ITAUEIRA;96,02;;
220520 JAICOS;95,93;;
220530 JERUMENHA;95,31;;
220540 JOAQUIM PIRES;98,27;;
220550 JOSE DE FREITAS;95,33;;
220560 LANDRI SALES;92,74;;
220570 LUIS CORREIA;97,57;;
220580 LUZILANDIA;98,16;;
220590 MANOEL EMIDIO;99,35;;
220600 MARCOS PARENTE;99,51;;
220610 MATIAS OLIMPIO;96,73;;
220620 MIGUEL ALVES;96,73;;
220630 MIGUEL LEAO;97,5;;
220640 MONSENHOR GIL;97,51;;
220650 MONSENHOR HIPOLITO;96,34;;
220660 MONTE ALEGRE DO PIAUI;95,48;;
220670 NAZARE DO PIAUI;96,02;;
220680 NOSSA SENHORA DOS REMEDIOS;97,61;;
220690 NOVO ORIENTE DO PIAUI;97,84;;
220700 OEIRAS;95,32;;
220720 PADRE MARCOS;95,13;;
220730 PAES LANDIM;98,02;;
220740 PALMEIRA DO PIAUI;99,46;;
220750 PALMEIRAIS;98,24;;
220760 PARNAGUA;97,88;;
220770 PARNAIBA;87,75;;
220780 PAULISTANA;97,22;;
220790 PEDRO II;96,49;;
220800 PICOS;84,6;;
220810 PIMENTEIRAS;96,9;;
220820 PIO IX;96,5;;
220830 PIRACURUCA;94,43;;
220840 PIRIPIRI;92,63;;
220850 PORTO;98,6;;
220860 PRATA DO PIAUI;97,22;;
220870 REDENCAO DO GURGUEIA;99,21;;
220880 REGENERACAO;96,62;;
220890 RIBEIRO GONCALVES;96,49;;
220900 RIO GRANDE DO PIAUI;94,48;;
220910 SANTA CRUZ DO PIAUI;97,33;;
220920 SANTA FILOMENA;95,11;;
220930 SANTA LUZ;97,08;;
220940 SANTO ANTONIO DE LISBOA;86,3;;
220950 SANTO INACIO DO PIAUI;97,3;;
220960 SAO FELIX DO PIAUI;96,55;;
220970 SAO FRANCISCO DO PIAUI;98,95;;
220980 SAO GONCALO DO PIAUI;94,66;;
220985 SAO JOAO DA CANABRAVA;97,88;;
220990 SAO JOAO DA SERRA;98,91;;
221000 SAO JOAO DO PIAUI;96,38;;
221010 SAO JOSE DO PEIXE;95,06;;
221020 SAO JOSE DO PIAUI;97,65;;
221030 SAO JULIAO;93,31;;
221040 SAO MIGUEL DO TAPUIO;97,49;;
221050 SAO PEDRO DO PIAUI;95,91;;
221060 SAO RAIMUNDO NONATO;94,28;;
221070 SIMOES;96,14;;
221080 SIMPLICIO MENDES;91,86;;
221090 SOCORRO DO PIAUI;94,25;;
221100 TERESINA;74,65;;
221110 UNIAO;96,93;;
221120 URUCUI;95,09;;
221130 VALENCA DO PIAUI;90,58;;
221140 VARZEA GRANDE;96,85;;
230010 ABAIARA;97,48;;
230015 ACARAPE;96,29;;
230020 ACARAU;93,98;;
230030 ACOPIARA;95,18;;
230040 AIUABA;96,98;;
230050 ALCANTARAS;97,35;;
230060 ALTANEIRA;95,74;;
230070 ALTO SANTO;95,46;;
230075 AMONTADA;97,85;;
230080 ANTONINA DO NORTE;95,71;;
230090 APUIARES;97,19;;
230100 AQUIRAZ;94,16;;
230110 ARACATI;91,4;;
230120 ARACOIABA;95,29;;
230130 ARARIPE;96,63;;
230140 ARATUBA;94,21;;
230150 ARNEIROZ;98,54;;
230160 ASSARE;95,82;;
230170 AURORA;97,34;;
230180 BAIXIO;97,68;;
230185 BANABUIU;96,05;;
230190 BARBALHA;91,32;;
230195 BARREIRA;96,23;;
230200 BARRO;96,96;;
230205 BARROQUINHA;97,9;;
230210 BATURITE;91,98;;
230220 BEBERIBE;96,69;;
230230 BELA CRUZ;95,91;;
230240 BOA VIAGEM;96,08;;
230250 BREJO SANTO;89,7;;
230260 CAMOCIM;94,13;;
230270 CAMPOS SALES;90,62;;
230280 CANINDE;93,92;;
230290 CAPISTRANO;96,83;;
230300 CARIDADE;96,12;;
230310 CARIRE;96,92;;
230320 CARIRIACU;96,92;;
230330 CARIUS;94,68;;
230340 CARNAUBAL;97,46;;
230350 CASCAVEL;94,48;;
230360 CATARINA;94,04;;
230370 CAUCAIA;88,1;;
230380 CEDRO;92,93;;
230390 CHAVAL;97,93;;
230395 CHOROZINHO;94,36;;
230400 COREAU;96,78;;
230410 CRATEUS;90,12;;
230420 CRATO;85,07;;
230423 CROATA;98,16;;
230425 CRUZ;95,39;;
230426 DEPUTADO IRAPUAN PINHEIRO;94,96;;
230427 ERERE;93,92;;
230428 EUSEBIO;89,61;;
230430 FARIAS BRITO;94,79;;
230435 FORQUILHA;94,42;;
230440 FORTALEZA;68,66;;
230450 FRECHEIRINHA;93,68;;
230460 GENERAL SAMPAIO;95,96;;
230465 GRACA;99,7;;
230470 GRANJA;97,12;;
230480 GRANJEIRO;96,98;;
230490 GROAIRAS;95,53;;
230495 GUAIUBA;97,28;;
230500 GUARACIABA DO NORTE;94,85;;
230510 GUARAMIRANGA;96,17;;
230520 HIDROLANDIA;98,14;;
230523 HORIZONTE;93,35;;
230526 IBARETAMA;98,66;;
230530 IBIAPINA;95,94;;
230533 IBICUITINGA;96,67;;
230535 ICAPUI;89,7;;
230540 ICO;94,53;;
230550 IGUATU;86,75;;
230560 INDEPENDENCIA;97,03;;
230565 IPAPORANGA;97,36;;
230570 IPAUMIRIM;94,73;;
230580 IPU;94,68;;
230590 IPUEIRAS;96,71;;
230600 IRACEMA;96,84;;
230610 IRAUCUBA;95,74;;
230620 ITAICABA;97,54;;
230630 ITAPAGE;94,04;;
230640 ITAPIPOCA;95,04;;
230650 ITAPIUNA;97,33;;
230655 ITAREMA;96,28;;
230660 ITATIRA;98,22;;
230670 JAGUARETAMA;94,19;;
230680 JAGUARIBARA;91,66;;
230690 JAGUARIBE;93,11;;
230700 JAGUARUANA;92,78;;
230710 JARDIM;95,4;;
230720 JATI;93,65;;
230730 JUAZEIRO DO NORTE;85,85;;
230740 JUCAS;96,56;;
230750 LAVRAS DA MANGABEIRA;95,09;;
230760 LIMOEIRO DO NORTE;89,24;;
230763 MADALENA;97,04;;
230765 MARACANAU;90,39;;
230770 MARANGUAPE;91,18;;
230780 MARCO;96,03;;
230790 MARTINOPOLE;96,13;;
230800 MASSAPE;95,36;;
230810 MAURITI;96,4;;
230820 MERUOCA;97,37;;
230830 MILAGRES;94,62;;
230835 MILHA;97,87;;
230837 MIRAIMA;98,76;;
230840 MISSAO VELHA;95,36;;
230850 MOMBACA;94,68;;
230860 MONSENHOR TABOSA;96,88;;
230870 MORADA NOVA;94,45;;
230880 MORAUJO;96,91;;
230890 MORRINHOS;96,2;;
230900 MUCAMBO;97,57;;
230910 MULUNGU;93,8;;
230920 NOVA OLINDA;96,13;;
230930 NOVA RUSSAS;94,96;;
230940 NOVO ORIENTE;94,26;;
230945 OCARA;98,48;;
230950 OROS;93,2;;
230960 PACAJUS;90,87;;
230970 PACATUBA;92,89;;
230980 PACOTI;94,3;;
230990 PACUJA;92,15;;
231000 PALHANO;98,17;;
231010 PALMACIA;91,11;;
231020 PARACURU;95,08;;
231025 PARAIPABA;92,66;;
231030 PARAMBU;94,43;;
231040 PARAMOTI;97,54;;
231050 PEDRA BRANCA;96,98;;
231060 PENAFORTE;95,35;;
231070 PENTECOSTE;96,45;;
231080 PEREIRO;95,27;;
231085 PINDORETAMA;93,37;;
231090 PIQUET CARNEIRO;94,76;;
231095 PIRES FERREIRA;97,7;;
231100 PORANGA;96,02;;
231110 PORTEIRAS;93,99;;
231120 POTENGI;96,09;;
231123 POTIRETAMA;95,56;;
231126 QUITERIANOPOLIS;98,78;;
231130 QUIXADA;91,11;;
231135 QUIXELO;93,25;;
231140 QUIXERAMOBIM;96,53;;
231150 QUIXERE;94,87;;
231160 REDENCAO;95,16;;
231170 RERIUTABA;94,49;;
231180 RUSSAS;89,42;;
231190 SABOEIRO;98,47;;
231195 SALITRE;98,74;;
231200 SANTANA DO ACARAU;96,09;;
231210 SANTANA DO CARIRI;96,07;;
231220 SANTA QUITERIA;96,2;;
231230 SAO BENEDITO;95,52;;
231240 SAO GONCALO DO AMARANTE;95,41;;
231250 SAO JOAO DO JAGUARIBE;92,02;;
231260 SAO LUIS DO CURU;92,83;;
231270 SENADOR POMPEU;93,23;;
231280 SENADOR SA;97,93;;
